1 00:00:04,232 --> 00:00:05,354 主持人 SPEAKER_12：感谢介绍。
717 01:02:07,634 --> 01:02:14,983 说话人 SPEAKER_00：就像，即使是现在的系统，但让我们谈谈这些未来系统，它们的大致智能程度足以试图愚弄我们和操纵我们。
718 01:02:15,503 --> 01:02:21,630 说话人 SPEAKER_00：那么，这难道不意味着我们必须担心它们仅仅通过测试，因为它们知道我们在测试它们吗？
719 01:02:22,010 --> 01:02:23,072 说话人 SPEAKER_00：关于这一点，你有什么想法吗？
720 01:02:23,251 --> 01:02:35,987 说话人 SPEAKER_00：我想在理想的世界里，我们可能不会这样做，我们会花所有需要的时间去研究那些我们确信无法用这种方式欺骗我们的系统，然后再去构建它们。
721 01:02:36,641 --> 01:02:45,835 说话人 SPEAKER_12：是的，我们都习惯了作为顶级智能，认为其他事物，比如计算机，我们可以研究，并且我们知道得比我们想象的要多。
722 01:02:45,875 --> 01:02:53,987 说话人 SPEAKER_12：而且处理可能比你聪明但完全不同于你的事物，这是我们不习惯的。
723 01:02:54,206 --> 01:02:55,750 说话人 SPEAKER_12：我同意你的看法。
724 01:02:55,789 --> 01:03:05,063 说话人 SPEAKER_12：我的意思是，如果他们已经比我们聪明，他们可能会决定装傻来愚弄我们。
725 01:03:06,291 --> 01:03:13,762 说话人 SPEAKER_12：就像我说的，我没有时间想太多，也没有时间太多地从情感上做出反应。
726 01:03:13,822 --> 01:03:15,686 说话人 SPEAKER_12：我仍然无法从情感上认真对待这件事。
727 01:03:16,708 --> 01:03:19,873 说话人 SPEAKER_12：我认为大多数人也无法从情感上认真对待这件事。
728 01:03:21,795 --> 01:03:26,021 说话人 SPEAKER_12：但是当你处理比你更智能的事物时，那是一个完全不同的世界。
729 01:03:29,663 --> 01:03:34,068 说话人 SPEAKER_13：好的，我们还有五分钟，可以再回答两个问题。
730 01:03:34,088 --> 01:03:39,393 说话人 SPEAKER_13：我打算回到溢出房间待一分钟，然后我会在一分钟内回答这里的问题。
731 01:03:41,074 --> 01:03:47,882 说话人 SPEAKER_13：从溢出房间，你之前提到哲学对人工智能进行了大量理论探讨，但现在我们需要转向更实际的问题。
732 01:03:48,422 --> 01:03:51,586 说话人 SPEAKER_13：你认为哲学是否还能帮助人工智能安全？
733 01:03:51,967 --> 01:03:54,289 说话人 SPEAKER_13：如果是这样，哲学应该朝哪个方向发展才能做到这一点？
734 01:03:57,733 --> 01:03:59,534 说话人 SPEAKER_12：他们应该让位。
735 01:03:59,971 --> 01:04:09,224 说话人 SPEAKER_12：然后让科学家来处理这些问题。
736 01:04:09,244 --> 01:04:10,748 说话人 SPEAKER_13: 我认为现在是 1-0，工程队领先。
737 01:04:14,974 --> 01:04:16,596 说话人 SPEAKER_12: 这不是赢得朋友的好方法。
738 01:04:17,478 --> 01:04:20,882 说话人 SPEAKER_13: 好吧，这很困难。
739 01:04:21,244 --> 01:04:22,826 说话人 SPEAKER_13: 我们有很多问题。
740 01:04:24,407 --> 01:04:25,250 说话人 SPEAKER_13：我可以问这个问题吗？
741 01:04:25,289 --> 01:04:28,695 说话人 SPEAKER_13：之后我会尽量再从后面的问题中问一个，然后我们就得结束了。
742 01:04:29,030 --> 01:04:29,971 说话人 SPEAKER_13：请在这里。
743 01:04:30,672 --> 01:04:32,695 说话人 SPEAKER_13：然后我们稍后还会再从后面的问题中问一个。
744 01:04:33,637 --> 01:04:35,398 说话人 SPEAKER_13: 然后我们会让您完成。
745 01:04:35,420 --> 01:04:36,081 说话人 SPEAKER_13: 非常感谢您。
746 01:04:36,661 --> 01:04:37,161 说话人 SPEAKER_01: 嗨，谢谢。
747 01:04:37,523 --> 01:04:40,106 说话人 SPEAKER_01: 玛雅·甘尼什，社会科学家。
748 01:04:44,112 --> 01:04:47,157 说话人 SPEAKER_01：这与哲学家非常不同。
749 01:04:47,456 --> 01:04:48,778 说话人 SPEAKER_01：绝对不是哲学家。
750 01:04:49,340 --> 01:04:57,010 说话人 SPEAKER_01：在你的演讲中，你多次提到有些事情你不确定，你不知道，而你最近才有所理解。
751 01:04:57,050 --> 01:05:04,039 说话人 SPEAKER_01：我非常感兴趣的是跨学科以及我们如何研究、教授和学习关于人工智能。
回顾您作为科学家的教育经历，有哪些事情您希望学习过，或者您认为对于现在刚开始接触人工智能、机器学习的人来说，哪些内容会非常有趣？
753 01:05:16,987 --> 01:05:20,893 发言人 SPEAKER_01: 从哲学或其他领域来研究世界。
754 01:05:20,954 --> 01:05:26,922 说话者 SPEAKER_01：但你认为在过程中可能还有其他一些有趣的事情值得了解，你现在意识到了吗？
755 01:05:26,943 --> 01:05:28,385 发言人 SPEAKER_01：我希望我已经研究过这些东西了。
756 01:05:28,545 --> 01:05:28,806 说话人 SPEAKER_01: 谢谢。
757 01:05:30,789 --> 01:05:32,371 说话人 SPEAKER_12: 所以我实际上去了剑桥。
758 01:05:32,751 --> 01:05:37,579 说话人 SPEAKER_12: 我读了一个非常有趣的学位，因为我一开始学的是自然科学。
759 01:05:38,099 --> 01:05:39,621 说话人 SPEAKER_12: 然后一个月后就辍学了。
760 01:05:40,342 --> 01:05:43,327 说话人 SPEAKER_12：然后我又回来学习建筑，我退学得更快了。
761 01:05:44,050 --> 01:05:50,141 说话人 SPEAKER_12：然后我学习了物理、生理学和化学。
762 01:05:51,061 --> 01:05:54,608 说话人 SPEAKER_12：那年我是唯一一个学习物理和生理学的学生，我想。
763 01:05:55,409 --> 01:05:58,014 说话人 SPEAKER_12：回顾起来，我在学习物理和生理学。
764 01:05:58,619 --> 01:06:00,181 说话人 SPEAKER_12：我觉得非常好。
765 01:06:00,822 --> 01:06:02,644 说话人 SPEAKER_12：我的意思是，我学到了一些东西。
766 01:06:02,664 --> 01:06:11,436 说话人 SPEAKER_12：我对大脑的生理学非常失望，因为课程的最后一部分本应被称为中枢神经系统。
767 01:06:11,918 --> 01:06:14,061 说话人 SPEAKER_12：我以为他们会教我们大脑是如何工作的。
768 01:06:14,702 --> 01:06:19,849 说话者 SPEAKER_12：他们实际上教给我们的是动作电位如何在轴突上传播。
769 01:06:21,351 --> 01:06:23,715 说话者 SPEAKER_12：但这并不是全部的故事。
770 01:06:25,264 --> 01:06:26,429 说话者 SPEAKER_12：所以我对此感到失望。
771 01:06:26,710 --> 01:06:29,239 说话者 SPEAKER_12：然后我转向了哲学。
772 01:06:29,259 --> 01:06:33,373 说话人 SPEAKER_12：我年轻时，想了解生活的意义这类的事情。
773 01:06:34,335 --> 01:06:37,688 说话人 SPEAKER_12：他们没有教我这些。
774 01:06:39,710 --> 01:06:42,393 说话人 SPEAKER_12：我对心灵哲学非常感兴趣。
775 01:06:43,514 --> 01:06:57,853 说话人 SPEAKER_12：但实际上，当我大约 19 岁时开始研究哲学时，我形成了这样的观点：主观体验只是对“为了解释我头脑中的正常感知，世界必须是什么样的”这一观点的简写。
776 01:06:58,594 --> 01:06:59,755 说话人 SPEAKER_12：但他们对此并不太感兴趣。
777 01:06:59,775 --> 01:07:01,958 说话人 SPEAKER_12：所以我实际上对哲学有怨言。
778 01:07:02,778 --> 01:07:08,585 说话人 SPEAKER_12：然后我学习心理学，因为我认为，你知道，心理学实际上会教我人们是如何运作的。
779 01:07:09,376 --> 01:07:24,931 说话人 SPEAKER_12：他们教我如何让老鼠更有可能按下杠杆，如何检测非常微弱的事物，如何权衡偏见与歧视，检测非常微弱的噪音等。
780 01:07:25,871 --> 01:07:27,353 说话人 SPEAKER_12：但他们没有教我太多关于人的东西。
781 01:07:27,873 --> 01:07:32,137 说话人 SPEAKER_12：而且，他们似乎对这有多复杂一无所知。
782 01:07:32,717 --> 01:07:37,121 说话人 SPEAKER_12：当时心理学中的理论都是极其简单的理论。
783 01:07:37,978 --> 01:07:45,186 说话人 SPEAKER_12：所以我决定，除非你亲手建造一个，否则你永远不会理解大脑是如何工作的。
784 01:07:47,507 --> 01:07:50,951 说话人 SPEAKER_12：这就是费曼的观点，我的意思是，费曼在某处说过。
785 01:07:51,231 --> 01:07:53,853 说话人 SPEAKER_12：你真的理解某件事，直到你亲手去建造它。
786 01:07:54,715 --> 01:07:56,115 说话人 SPEAKER_12：所以从那时起，我就一直在做这件事。
787 01:07:56,797 --> 01:08:05,505 说话人 SPEAKER_12：但回顾起来，学习物理学、生理学、哲学和心理学实际上为我所做的事情打下了很好的基础。
788 01:08:06,110 --> 01:08:08,375 说话人 SPEAKER_12: 当时这根本说不通。
789 01:08:08,394 --> 01:08:14,969 说话人 SPEAKER_02: 所以我认为我给学习的最好建议就是做你最感兴趣的事情。
790 01:08:19,338 --> 01:08:19,739 说话人 SPEAKER_13: 好的，谢谢。
791 01:08:19,779 --> 01:08:23,127 说话人 SPEAKER_13: 我要回答后面的问题了。
792 01:08:23,148 --> 01:08:23,628 说话人 SPEAKER_13: 好的。
793 01:08:24,082 --> 01:08:27,668 说话人 SPEAKER_13: 在最后一排的白色上衣中有一只非常敏锐的手。
794 01:08:27,689 --> 01:08:29,171 说话人 SPEAKER_13: 那就是我们的最后一个问题。
795 01:08:29,372 --> 01:08:34,199 说话人 SPEAKER_13: 如果可能的话，请尽量简短，因为 Jeffrey 已经非常慷慨地花费了他的时间。
796 01:08:34,801 --> 01:08:35,802 说话人 SPEAKER_13：对哲学有什么怨恨吗？
797 01:08:36,243 --> 01:08:36,904 说话人 SPEAKER_13：从未想过。
798 01:08:43,818 --> 01:08:44,800 说话人 SPEAKER_06：非常感谢你的演讲。
799 01:08:44,880 --> 01:08:45,220 说话人 SPEAKER_06：我是约翰。
800 01:08:45,261 --> 01:08:47,625 说话人 SPEAKER_06：实际上，这是一个后续问题。
801 01:08:48,060 --> 01:09:01,018 说话人 SPEAKER_06：我们讨论了偏差以及我们识别人工网络偏差的能力，因为我们能够冻结权重，并且可以直接对这些权重进行干预。
802 01:09:01,198 --> 01:09:09,529 说话人 SPEAKER_06：我想请问，从您的角度来看，哪些是直接干预消除偏差最有希望的方法？
803 01:09:10,690 --> 01:09:12,673 说话人 SPEAKER_12：抱歉，我没有听到您问题的后半部分。
804 01:09:12,713 --> 01:09:13,494 说话人 SPEAKER_12：你能再说一遍吗？
805 01:09:14,064 --> 01:09:29,121 说话人 SPEAKER_06：我非常关注直接干预模型权重的问题，消除偏见并直接将知识注入系统，最有希望的研究途径是什么？
806 01:09:29,759 --> 01:09:30,899 说话人 SPEAKER_06：使其无偏见，对吧。
807 01:09:30,920 --> 01:09:32,220 说话人 SPEAKER_12：让它变得没有偏见，对吧。
808 01:09:34,023 --> 01:09:37,787 说话人 SPEAKER_12：再说一遍，我对你们是如何做到这一点并不在行。
809 01:09:39,649 --> 01:09:44,193 说话人 SPEAKER_12：很多人对如何消除这些系统中的偏见知道的比我多得多。
810 01:09:44,814 --> 01:09:55,083 说话人 SPEAKER_12：我只想评论一下，至少你可以对他们做些你不能对人做的事情，那就是在你研究它们以评估它们的偏见时阻止它们改变。
811 01:09:55,904 --> 01:09:56,984 说话人 SPEAKER_12：对人来说，这是无望的。
812 01:09:59,247 --> 01:09:59,648 说话人 SPEAKER_02: 谢谢。
813 01:10:01,113 --> 01:10:05,587 说话人 SPEAKER_13: 在此，我们得结束了，因为我们时间到了。
814 01:10:06,444 --> 01:10:21,425 说话人 SPEAKER_13: 我要向所有参与组织这次活动的人表示衷心的感谢，来自工程、存在风险研究中心和未来智能研究中心，特别是投入了大量工作的 Yi-Yun Mu。
815 01:10:21,765 --> 01:10:26,216 说话人 SPEAKER_13: 我们在很短的时间内完成了这项工作，而且效果相当不错。
当然，要向我们的演讲者 Geoffrey Hinton 表示衷心的感谢和热烈的掌声。
