1 00:00:02,478 --> 00:00:04,120 说话人 SPEAKER_01：让我检查一下它是否可以点击通过。
696 01:00:57,014 --> 01:00:58,034 讲者 SPEAKER_01：是的，这不是天生的。
697 01:00:58,795 --> 01:01:02,539 讲者 SPEAKER_00：太好了，感谢您的评论，再次祝贺您出色的工作。
698 01:01:02,559 --> 01:01:06,742 说话人 SPEAKER_06: 是的，然后看起来我们到了 210 这个时间点。
699 01:01:06,802 --> 01:01:07,744 说话人 SPEAKER_06: 可能还有一个问题。
700 01:01:08,204 --> 01:01:09,686 说话人 SPEAKER_06: 好的，最后一个问题。
701 01:01:10,385 --> 01:01:11,788 说话人 SPEAKER_06: 实际上，我确实有一个问题。
702 01:01:11,827 --> 01:01:17,652 演讲者 SPEAKER_06：我的问题稍微不那么技术性，实际上是与像这样的
703 01:01:19,219 --> 01:01:26,552 演讲者 SPEAKER_06：这些大型科技公司以及监管它们或监督它们，关于计算资源方面。
704 01:01:26,992 --> 01:01:40,637 演讲者 SPEAKER_06：你在一次采访中提到，这些公司中的一些，我们不知道，它们可能会利用漏洞通过限制收入来规避安全。
705 01:01:42,079 --> 01:01:44,382 演讲者 SPEAKER_06：我们应该采取什么措施，
我们是否知道如何确保这些大型公司在面临这些 AI 技术可能对私营部门就业带来的严重后果时承担责任？
707 01:02:06,489 --> 01:02:14,320 说话人 SPEAKER_01：有两种明显的方法来确保他们的责任，那就是每当他们向公众发布模型时，他们应该已经进行了大量的安全测试。
708 01:02:14,653 --> 01:02:18,099 说话人 SPEAKER_01：你可以要求他们告诉你他们做了哪些测试，并告诉你测试结果。
709 01:02:20,302 --> 01:02:21,123 说话人 SPEAKER_01：这是你可以做的一件事。
710 01:02:21,143 --> 01:02:22,724 说话人 SPEAKER_01：你可以对他们的不作为进行处罚。
711 01:02:23,626 --> 01:02:27,311 说话人 SPEAKER_01: 我认为加利福尼亚州法案 1047 中可能有类似的内容。
712 01:02:28,833 --> 01:02:39,349 说话人 SPEAKER_01: 但是，你可以强制要求，这更难，我不确定在美国能否做到，但你可以强制要求他们将其计算资源的一定比例用于安全研究。
713 01:02:39,989 --> 01:02:41,791 说话人 SPEAKER_01: 所以如果你看看开放 AI 的历史，
714 01:02:42,396 --> 01:02:48,773 说话人 SPEAKER_01: 人们像伊利亚离开的原因之一是因为他们不愿意将足够的计算资源投入到安全研究中。
715 01:02:50,436 --> 01:02:51,940 说话人 SPEAKER_01: 我认为这是伊利亚离开的一个原因。
716 01:02:53,184 --> 01:02:55,088 说话人 SPEAKER_01: 当然是约翰·莱克离开的原因之一。
717 01:02:56,512 --> 01:02:57,655 说话人 SPEAKER_01: 约翰·莱克。
718 01:02:58,934 --> 01:03:01,076 说话人 SPEAKER_01: 所以这些都是政府可以做的明显事情。
719 01:03:01,556 --> 01:03:08,164 说话人 SPEAKER_01：在美国，不清楚是否可以强制要求公司在其计算资源上投入一定比例用于安全。
720 01:03:08,684 --> 01:03:13,771 说话人 SPEAKER_01：但在疫情期间，可以强制要求公司生产呼吸机。
721 01:03:14,532 --> 01:03:18,235 说话人 SPEAKER_01：所以在疫情期间，可以强制做一些事情。
722 01:03:20,318 --> 01:03:20,878 说话人 SPEAKER_01：那我们就拭目以待吧。
723 01:03:22,541 --> 01:03:28,688 说话人 SPEAKER_06：基本上没有保证，就像我们的立法一样，我确信立法者正在非常努力地工作，试图制定新的法律来规范，但实际上并非所有法律都是如此。
724 01:03:29,106 --> 01:03:38,605 说话人 SPEAKER_06：希望他们现在正在非常努力地工作，试图制定新的法律来规范，但实际上并非所有法律都是如此。
725 01:03:38,684 --> 01:03:44,695 说话人 SPEAKER_01：例如，现在设计一个像 COVID 这样的病原体只需要大约 10 万美元。
726 01:03:45,818 --> 01:03:49,284 说话人 SPEAKER_01：因此，拥有 100 万美元的团体可以设计 10 个这样的病原体，并一次性释放它们。
727 01:03:49,905 --> 01:03:51,148 说话者 SPEAKER_01：这非常可怕。
728 01:03:51,483 --> 01:03:59,894 说话者 SPEAKER_01：之所以这么便宜，是因为你不需要有湿实验室，你不需要自己制作，你只需要获取一个序列，然后将其发送到云端，有人会把它装在瓶子里发给你。
729 01:04:00,896 --> 01:04:15,398 说话者 SPEAKER_01：现在对于在云端为你制作这个的人来说，检查它没有看起来非常像 COVID 刺突蛋白序列的东西似乎是合理的。
730 01:04:15,782 --> 01:04:21,150 说话者 SPEAKER_01：在将试管中的东西发回之前，你确实应该检查几件事情。
731 01:04:21,309 --> 01:04:26,976 白宫希望公司这么做，但它无法强迫他们这么做。
732 01:04:27,336 --> 01:04:35,106 它无法强迫他们这么做，因为共和党人不会在立法上合作，因为他们不想给民主党任何胜利的机会。
733 01:04:36,188 --> 01:04:44,659 因此，美国的体制已经混乱到了这种地步，一个可能让我们所有人毁灭的紧急威胁，他们却无法采取明显的措施。
734 01:04:47,693 --> 01:04:49,896 哇。
735 01:04:50,717 --> 01:05:01,610 说话人 SPEAKER_06: 我想我们不应该以那个结尾，所以我们非常感谢您今天抽出时间。
736 01:05:01,650 --> 01:05:13,105 说话人 SPEAKER_06: 我们总是愿意提供，如果您喜欢巧克力，我们愿意送您一些巧克力作为我们对你抽出时间的感谢的小礼物。
737 01:05:13,184 --> 01:05:14,507 说话人 SPEAKER_01: 我喜欢巧克力。
738 01:05:14,527 --> 01:05:15,327 说话人 SPEAKER_01: 请给我发一封电子邮件。
739 01:05:15,347 --> 01:05:16,248 说话人 SPEAKER_01: 我会给你发我的地址。
740 01:05:17,090 --> 01:05:17,831 说话人 SPEAKER_02: 好的。
741 01:05:17,851 --> 01:05:18,170 说话人 SPEAKER_02: 完美。
742 01:05:18,190 --> 01:05:18,731 说话人 SPEAKER_06: 听起来不错。
743 01:05:19,713 --> 01:05:21,074 说话人 SPEAKER_02: 大家快鼓掌。
744 01:05:21,094 --> 01:05:23,556 说话人 SPEAKER_06: 感谢大家今天抽出时间来。
745 01:05:23,576 --> 01:05:24,797 说话人 SPEAKER_06: 我们真的非常感激。
746 01:05:25,657 --> 01:05:32,184 说话人 SPEAKER_06: 下周，嗯，我们将有下一位演讲者。
747 01:05:32,204 --> 01:05:35,927 说话人 SPEAKER_06: 您可以查看我们的网站，嗯，信息已经发布。
748 01:05:37,449 --> 01:05:37,670 说话人 SPEAKER_02: 是的。
749 01:05:37,690 --> 01:05:39,231 说话人 SPEAKER_02: 感谢大家今天加入我们。
750 01:05:39,251 --> 01:05:41,233 说话人 SPEAKER_02: 感谢您抽出时间。
751 01:05:42,353 --> 01:05:42,815 说话人 SPEAKER_05: 谢谢。
752 01:05:42,875 --> 01:05:44,496 说话人 SPEAKER_05: 谢谢。
753 01:05:46,117 --> 01:05:46,438 说话人 SPEAKER_05: 再见。
