1 00:00:03,710 --> 00:00:04,351 说话者 SPEAKER_02：晚上好。
然后是更近期的作品，Word2vec、Fastex 等等，基本上都是利用从上下文中预测单词的这个想法。
675 01：06：06,525 --> 01：06：09,992 演讲者 SPEAKER_01：但实际上，这整个想法完全被打破了。
676 01:06:10,494 --> 01:06:13,440 说话人 SPEAKER_01：那么为什么它在自然语言处理中有效？
677 01:06:13,880 --> 01:06:18,130 说话人 SPEAKER_01：为什么在图像和视觉领域效果不佳？
678 01:06:19,510 --> 01:06:26,717 说话人 SPEAKER_01：我认为这是因为我们如何表示不确定性，或者我们如何不表示不确定性。
679 01:06:27,297 --> 01:06:28,938 说话人 SPEAKER_01：那么假设我们想要进行视频预测。
680 01:06:29,639 --> 01:06:32,902 说话人 SPEAKER_01：我们有包含几个帧的短视频片段。
681 01:06:33,503 --> 01:06:36,005 说话人 SPEAKER_01：在这个例子中，一个小女孩走向生日蛋糕。
682 01:06:36,686 --> 01:06:39,389 说话人 SPEAKER_01：然后我们要求机器预测视频中的下一几个帧。
683 01:06:40,751 --> 01:06:47,036 说话人 SPEAKER_01：如果你训练一个大型神经网络，使用最小二乘误差来预测下一几个帧，
684 01:06:47,556 --> 01:06:49,400 说话人 SPEAKER_01：你得到的是模糊的预测。
685 01:06:50,782 --> 01:06:51,021 说话人 SPEAKER_01：为什么？
686 01:06:51,322 --> 01:06:58,213 说话人 SPEAKER_01：因为系统无法精确预测将要发生什么，所以你能做的最好的事情就是预测所有可能未来的平均值。
687 01:06:59,376 --> 01:07:09,632 说话人 SPEAKER_01：更具体地说，假设所有视频都是由某人把笔放在桌子上然后放手组成，每次重复实验笔都会以不同的方向落下，你根本无法预测它会向哪个方向落下。
688 01:07:10,777 --> 01:07:19,715 说话人 SPEAKER_01：那么如果你预测所有结果的平均值，它将是一个透明笔在所有可能的方向上叠加。
689 01:07:19,835 --> 01:07:23,021 说话人 SPEAKER_01：这不是一个好的预测。
690 01:07:23,041 --> 01:07:25,967 说话人 SPEAKER_01：所以如果你想使一个系统能够
691 01:07:26,385 --> 01:07:30,512 说话人 SPEAKER_01：表示多个预测，它必须具备所谓的潜在变量。
692 01:07:30,652 --> 01:07:32,835 说话人 SPEAKER_01：您已经实现了一个由神经网络实现的函数。
693 01:07:33,356 --> 01:07:37,704 说话人 SPEAKER_01：它接受过去的数据，比如说几个视频帧，并试图预测接下来的几个帧。
694 01:07:38,143 --> 01:07:46,356 说话人 SPEAKER_01：它需要有一个额外的变量，这里称为 z，这样当您改变这个变量时，输出会在一组可能的预测中变化。
695 01:07:47,259 --> 01:07:49,322 说话人 SPEAKER_01：好的，这就是潜在变量模型。
696 01:07:49,302 --> 01:07:59,164 训练这些事物的问题在于，我们基本上只知道两种训练方法，或者说有两种类型的训练系统的方法。
697 01:07:59,563 --> 01:08:08,965 其中一个是来自伊恩·古德费洛（Ian Goodfellow）及其蒙特利尔大学合作者几年前的一个非常酷的想法，称为对抗训练或生成对抗网络。
698 01:08:08,945 --> 01:08:21,573 GANs（对抗网络）的想法是训练第二个神经网络来告诉第一个神经网络其预测是否在这个流形或可能的未来集合上。
699 01:08:21,592 --> 01:08:24,760 你同时训练这两个网络。
700 01:08:26,190 --> 01:08:32,886 说话人 SPEAKER_01：还有一种技术，就是推断出潜在变量的理想值，以便做出良好的预测。
701 01:08:33,868 --> 01:08:44,570 说话人 SPEAKER_01：但是如果你这样做，潜在变量可能会捕获关于预测的所有信息，而实际上不会使用过去的信息来做出预测。
702 01:08:46,356 --> 01:08:48,139 说话人 SPEAKER_01：所以你必须对这个潜在变量进行正则化。
703 01:08:48,859 --> 01:08:55,067 说话人 SPEAKER_01：好的，所以像对抗训练这样的想法效果非常好。
704 01:08:55,207 --> 01:09:01,274 说话人 SPEAKER_01：所以您在这里底部看到的是系统经过这种对抗性训练后的短视频预测。
705 01:09:02,435 --> 01:09:09,903 说话人 SPEAKER_01：进行这些预测的方法有很多，不仅限于像素空间，还包括已经分割的对象空间。
706 01:09:11,305 --> 01:09:14,929 说话人 SPEAKER_01：这些生成对抗网络可以生成
707 01:09:14,908 --> 01:09:19,412 说话人 SPEAKER_01：用于艺术创作的辅助图像。
708 01:09:19,993 --> 01:09:21,854 说话人 SPEAKER_01：这些是非存在的面孔。
709 01:09:21,875 --> 01:09:26,640 说话人 SPEAKER_01：这里有一个系统，经过训练可以生成一个看起来像名人的图像。
710 01:09:27,501 --> 01:09:33,685 说话人 SPEAKER_01：系统训练完成后，给它输入几百个随机数，就会出现一个不存在的面孔。
711 01:09:35,148 --> 01:09:35,807 说话人 SPEAKER_01：它们看起来相当不错。
712 01:09:36,248 --> 01:09:39,631 说话人 SPEAKER_01: 这实际上是今年 NVIDIA 的工作。
713 01:09:39,652 --> 01:09:40,693 说话人 SPEAKER_01: 它今年被展示了。
714 01:09:41,913 --> 01:09:44,376 说话人 SPEAKER_01: 你可以用它来制作各种不同的事物，
715 01:09:46,262 --> 01:09:54,315 说话人 SPEAKER_01: 例如，训练来自著名设计师的服装集合。
716 01:09:55,717 --> 01:10:07,377 说话人 SPEAKER_01：我认为我们需要一些新的方法来表示，或者说在监督学习中对这个问题进行表述，以便我们的系统可以处理预测中的这种不确定性，在连续的高维空间中。
717 01:10:07,356 --> 01:10:09,079 说话人 SPEAKER_01：在自然语言处理中我们没有这个问题，因为表示词语的分布很容易。
718 01:10:09,439 --> 01:10:19,253 说话人 SPEAKER_01：在自然语言处理中我们没有这个问题，因为表示词语的分布很容易。
719 01:10:19,694 --> 01:10:20,856 说话人 SPEAKER_01：它只是一个离散分布。
720 01:10:20,917 --> 01:10:23,921 说话人 SPEAKER_01：这是一个介于 0 和 1 之间的长数字向量，其和为 1。
721 01:10:24,742 --> 01:10:27,947 说话人 SPEAKER_01：但在连续的高维空间中这非常困难。
722 01:10:28,213 --> 01:10:29,475 说话人 SPEAKER_01：因此我们需要新的技术来解决这个问题。
723 01:10:29,536 --> 01:10:37,186 说话人 SPEAKER_01：我提出的一个技术是所谓的基于能量的自监督学习，想象一下你的世界是二维的。
724 01:10:37,247 --> 01:10:39,010 说话人 SPEAKER_01：你只有两个输入变量，两个传感器。
725 01:10:39,831 --> 01:10:46,020 说话人 SPEAKER_01：你的整个世界，你的整个训练集，都是由这些点组成的，这些点位于这个二维空间中。
726 01:10:46,927 --> 01:10:57,247 说话人 SPEAKER_01：你想要训练一个对比函数，我们可以称之为能量，它对数据流形上的点给予低能量，对流形外的点给予高能量。
727 01:10:58,448 --> 01:11:03,417 说话人 SPEAKER_01：在这方面，基本还有很多研究要做，以找到完成这项任务的最佳方法。
728 01:11:03,398 --> 01:11:13,948 说话人 SPEAKER_01：我最喜欢的一种是所谓的正则化潜在变量模型，大约 10 年前，我们在这方面取得了成功，完全无监督地使用这类技术来学习卷积网络的特征。
729 01:11:14,770 --> 01:11:25,461 说话人 SPEAKER_01：您在这里看到的是通过仅用自然图像块进行训练以在稀疏约束下重建这些块来学习基本方向滤波器的系统的动画。
730 01:11:26,521 --> 01:11:31,768 说话人 SPEAKER_01：而您在右侧看到的是使用相同算法学习到的卷积网络的滤波器。
731 01:11:31,747 --> 01:11:34,490 说话人 SPEAKER_01：与不同数量的滤波器。
732 01:11:35,131 --> 01:11:36,393 说话人 SPEAKER_01：这些事情有点用。
733 01:11:37,012 --> 01:11:39,756 说话人 SPEAKER_01：如果你有大量数据，它们不会打败监督学习。
734 01:11:40,136 --> 01:11:44,280 说话人 SPEAKER_01：但希望它能减少必要的标记数据量。
735 01:11:45,703 --> 01:11:57,314 说话人 SPEAKER_01：所以我要以一个例子结束，说明如何将这些结合起来，让机器学习一些有用的东西，比如一个任务，一个运动任务。
736 01:11:57,335 --> 01:12:01,519 说话人 SPEAKER_01：所以，我在谈论的是，我们能否训练一台机器，通过观察其他人驾驶并训练一个关于世界发生什么情况的模型来学习驾驶。
737 01:12:01,717 --> 01:12:09,770 说话人 SPEAKER_01：所以，当你坐在车里，你可以看到周围的车辆，如果你能提前预测周围车辆的行为，那么你就可以进行防御性驾驶。
738 01:12:11,134 --> 01:12:22,932 说话人 SPEAKER_01：所以，你在车里，你可以看到周围的车辆，如果你能提前预测周围车辆将要做什么，那么你就可以进行防御性驾驶。
739 01:12:23,216 --> 01:12:25,940 说话人 SPEAKER_01：你可以决定远离这辆车，因为你看到它在打滑。
740 01:12:26,542 --> 01:12:34,734 说话人 SPEAKER_01: 你可以选择放慢速度，因为前面的车很可能会减速，因为前面还有一辆车正在减速。
741 01:12:35,055 --> 01:12:38,439 说话人 SPEAKER_01: 所以你有了所有那些基本能让你保持安全的预测模型。
742 01:12:38,479 --> 01:12:40,603 说话人 SPEAKER_01: 你已经逐渐学会了整合它们。
743 01:12:40,842 --> 01:12:41,984 说话人 SPEAKER_01: 你甚至都不需要去想。
744 01:12:42,284 --> 01:12:45,609 说话人 SPEAKER_01: 这只是你驾驶时的本能反应。
745 01:12:45,630 --> 01:12:50,877 说话人 SPEAKER_01: 你可以同时说话，并且还能工作。
746 01:12:52,275 --> 01:12:55,421 说话人 SPEAKER_01: 但是训练这样一个系统的方法是，你首先必须训练一个前向模型。
747 01:12:55,480 --> 01:13:02,393 说话人 SPEAKER_01: 因此，前向模型是这样的，这里是时间 t 的世界状态。给我预测一下时间 t+1 的世界状态。
748 01:13:03,694 --> 01:13:06,619 说话人 SPEAKER_01: 当然，这个问题在于世界不是决定性的。
749 01:13:07,381 --> 01:13:08,542 说话人 SPEAKER_01: 可能发生很多事情。
750 01:13:08,743 --> 01:13:10,706 说话人 SPEAKER_01: 这和我之前提到的用笔的问题是一样的。
751 01:13:11,226 --> 01:13:12,028 说话人 SPEAKER_01: 可能发生许多事情。
752 01:13:14,493 --> 01:13:19,060 说话人 SPEAKER_01：但是如果你有一个这样的前向模型，你可以多次运行前向模型。
753 01:13:21,266 --> 01:13:39,135 说话人 SPEAKER_01：然后如果你有一个目标函数，比如你离其他车辆有多远，你是否在车道上，诸如此类，你可以通过整个系统反向传播梯度来训练一个神经网络，以预测长期安全的正确行动方案。
754 01:13:39,975 --> 01:13:41,398 说话人 SPEAKER_01：这可以在你的脑海中完成。
755 01:13:41,779 --> 01:13:45,345 说话人 SPEAKER_01：如果你在脑海中有一个前向模型，你实际上不必亲自驾驶来训练自己驾驶。
756 01:13:45,664 --> 01:13:48,168 说话人 SPEAKER_01: 你可以想象所有这些事情。
757 01:13:51,085 --> 01:13:52,886 说话人 SPEAKER_01: 这是一个具体的例子。
758 01:13:52,988 --> 01:13:56,192 说话人 SPEAKER_01: 所以你放一个摄像头向下看高速公路。
759 01:13:56,872 --> 01:14:01,878 说话人 SPEAKER_01: 它跟随每一辆车，并在底部提取围绕每辆车的矩形。
760 01:14:03,001 --> 01:14:12,212 说话人 SPEAKER_01：你现在正在训练一个卷积网络，以获取围绕特定车辆的几个帧，并预测世界的下一个状态。
761 01:14:13,255 --> 01:14:20,163 说话人 SPEAKER_01：如果你这样做，你会得到，哎呀，对不起。
762 01:14:25,948 --> 01:14:26,971 你得到第二列。
763 01:14:27,113 --> 01:14:35,176 说话人 SPEAKER_01：所以左边的列是现实世界发生的事情，第二列是如果你只用最小二乘法训练卷积网络来预测将要发生的事情。
764 01:14:35,639 --> 01:14:39,250 说话人 SPEAKER_01：它只能预测所有可能未来的平均值，因此预测结果会模糊不清。
765 01:14:40,039 --> 01:14:59,431 说话人 SPEAKER_01：如果你现在转换模型，使其具有一个潜在变量，以便它能考虑到对世界的不确定性，具体如何操作我就不解释了，那么你将得到右侧的预测结果，对于这个潜在变量的每一次绘制，你都会得到不同的预测，但它们是清晰的。
766 01:15:00,560 --> 01:15:15,886 说话人 SPEAKER_01：好的，现在你可以这样做，为了进行我之前提到的训练，你需要采样这个潜在变量，这样你就能得到关于未来可能发生的事情的不同可能场景，然后通过反向传播来训练你的策略网络，使你的系统能够驾驶。
767 01:15:16,667 --> 01:15:17,628 说话人 SPEAKER_01：如果你这样做，是行不通的。
768 01:15:18,631 --> 01:15:25,722 说话人 SPEAKER_01：它不起作用，因为系统进入了状态空间中，其中前向模型非常不准确且非常不确定的区域。
769 01:15:26,328 --> 01:15:34,438 说话人 SPEAKER_01：所以你必须要在目标函数中添加另一个项，以防止系统进入其预测不良的空间部分。
770 01:15:35,519 --> 01:15:40,204 说话人 SPEAKER_01：所以这就像是一个逆向的好奇心约束，如果你愿意的话。
771 01:15:40,225 --> 01:15:41,266 说话人 SPEAKER_01：如果你这样做，它就会起作用。
772 01:15:41,287 --> 01:15:45,311 说话人 SPEAKER_01：这些都是蓝色汽车自动驾驶的例子。
773 01:15:45,351 --> 01:15:48,435 说话人 SPEAKER_01：这个小白点表示它是否加速、是否刹车或是否转向。
774 01:15:48,956 --> 01:15:51,319 说话人 SPEAKER_01：它会在其他车辆附近保持一定的安全距离。
775 01:15:51,679 --> 01:15:52,701 说话人 SPEAKER_01：其他车辆看不到它。
776 01:15:53,081 --> 01:15:54,563 说话人 SPEAKER_01：这里的蓝色汽车是看不见的。
777 01:15:55,234 --> 01:15:56,615 说话人 SPEAKER_01：让我在这里给你展示另一个例子。
778 01:15:58,677 --> 01:16:01,100 说话人 SPEAKER_01：所以在这里，黄色汽车是视频中的实际汽车。
779 01:16:01,119 --> 01:16:04,643 说话人 SPEAKER_01：蓝色汽车是这里训练过的代理所做的事情。
780 01:16:05,104 --> 01:16:08,707 说话人 SPEAKER_01：它被夹在两辆车之间，所以它必须逃脱，因为其他车辆看不到它。
781 01:16:10,368 --> 01:16:11,189 说话人 SPEAKER_01：所以它必须挤出来。
782 01:16:13,690 --> 01:16:14,131 说话人 SPEAKER_01：但是它成功了。
783 01:16:14,431 --> 01:16:15,493 说话人 SPEAKER_01：它工作得相当好。
784 01:16:16,092 --> 01:16:20,457 说话人 SPEAKER_01：基本上，该系统从未与真实世界互动过。
785 01:16:20,556 --> 01:16:24,060 说话人 SPEAKER_01：它只是观察别人开车。
786 01:16:24,817 --> 01:16:29,243 说话人 SPEAKER_01：然后它用这些信息来训练其行动计划，基本上是其策略。
787 01:16:30,145 --> 01:16:35,231 说话人 SPEAKER_01：好的，现在我要稍微谈谈哲学，如果你愿意的话。
788 01：16：35,271 --> 01：16：45,087 演讲者 SPEAKER_01：在整个技术和科学的历史中，一直存在着这种现象，它不是普遍的，但非常频繁，人们发明了一个人工制品
然后从这个物品中推导出一门科学来解释这个物品是如何工作的，或者找出它的局限性。
790 01：16：54,002 --> 01：16：57,108 演讲者 SPEAKER_01：一个很好的例子是 1600 年代望远镜的发明。
791 01：16：57,988 --> 01：17：00,654 演讲者 SPEAKER_01：光学至少在 50 年后才发展起来。
但在此之前，人们已经有了如何建造望远镜的良好直觉。
蒸汽机在17世纪末和18世纪初被发明，而热力学则是在100多年后出现的，主要是为了解释热机的局限性。
794 01:17:19,845 --> 01:17:24,975 说话者 SPEAKER_01：现在热力学是所有科学中最基本的知识体系之一的基础。
795 01:17:26,458 --> 01:17:30,827 说话者 SPEAKER_01：所以它是特意定义来解释一个特定文物的。
796 01:17:31,287 --> 01:17:32,048 说话人 SPEAKER_01：这非常有趣。
797 01:17:33,853 --> 01:17:42,529 说话人 SPEAKER_01：电磁学和电动力学也是一样，有了帆船、飞机和空气动力学。
798 01:17:42,509 --> 01:17:46,099 你知道，化合物的发明和化学的解释等。
799 01:17:46,118 --> 01:17:46,500 说话人 SPEAKER_01：对吧？
800 01:17:46,680 --> 01:17:49,849 说话人 SPEAKER_01：计算机和计算机科学是在计算机发明之后出现的，对吧？
801 01:17:51,132 --> 01:17:58,493 说话人 SPEAKER_01：信息论是在无线电和电传等第一代数字通信发明之后出现的。
802 01:17:59,367 --> 01:18:21,354 说话人 SPEAKER_01：因此，在接下来的几十年里，我们完全有可能拥有通过试错、可能在强大机器上的系统优化、直觉、经验工作、或许一点理论、或许很多理论构建的实证系统，希望如此。
803 01:18:22,917 --> 01:18:27,061 说话人 SPEAKER_01：问题是这会不会导致一个关于智能的完整理论。
804 01:18:28,814 --> 01:18:36,890 说话人 SPEAKER_01：能够构建一个智能的物品的事实可能会导致信息处理和智能的一般理论。
805 01:18:37,792 --> 01:18:39,997 说话人 SPEAKER_01：这算是一个很大的希望。
806 01:18:40,578 --> 01:18:45,168 说话人 SPEAKER_01：我不确定这一点在接下来的几十年内能否实现，但这是一个好的项目。
807 01:18:46,452 --> 01:18:48,055 说话人 SPEAKER_01：有一点要提醒大家。
808 01:18:48,270 --> 01:18:49,512 说话人 SPEAKER_01：关于生物启发。
809 01:18:49,533 --> 01:18:54,338 说话人 SPEAKER_01：所以神经网络是受生物启发的，卷积神经网络也是受生物启发的，但它们只是受到启发，并没有复制。
810 01:18:55,581 --> 01:18:58,645 说话人 SPEAKER_01：让我给你讲一个名叫克莱门特·阿德的人的故事。
811 01:18:59,485 --> 01:19:00,807 说话人 SPEAKER_01：这里有没有法国人？
812 01:19:01,788 --> 01:19:03,091 说话人 SPEAKER_01: 好的，你能举手吗？
813 01:19:03,631 --> 01:19:04,091 说话人 SPEAKER_01: 法国人民？
814 01:19:04,233 --> 01:19:04,792 说话人 SPEAKER_01: 没有法国人？
815 01:19:05,033 --> 01:19:05,854 说话人 SPEAKER_01: 嗯，好的，有几个人。
816 01:19:06,234 --> 01:19:07,256 说话人 SPEAKER_01: 你听说过克莱门特·阿德吗？
817 01:19:09,840 --> 01:19:10,701 说话人 SPEAKER_01: 从来没听说过克莱门特·阿德？
818 01:19:11,221 --> 01:19:12,182 说话人 SPEAKER_01: 是的，你听说过，好吧。
819 01:19:12,844 --> 01:19:15,627 说话人 SPEAKER_01: 有没有哪个非法国人听说过克莱门特·阿德？
820 01:19:17,092 --> 01:19:20,917 说话人 SPEAKER_01: 好的，一个人，两个人，基本上没人。
821 01:19:21,078 --> 01:19:22,279 说话人 SPEAKER_01: 你们不知道他是谁，对吧？
822 01:19:22,880 --> 01:19:29,948 说话人 SPEAKER_01: 好的，这个人于 19 世纪末建造了一架蝙蝠形状的飞机，蒸汽动力。
823 01:19:30,850 --> 01:19:32,011 说话人 SPEAKER_01: 他是一位蒸汽机设计师。
824 01:19:33,153 --> 01:19:44,686 说话人 SPEAKER_01：他的飞机实际上是在自己的动力下起飞的，比莱特兄弟早 13 年，在约 50 厘米的高度飞行了大约 50 米，然后撞到了，着陆了。
825 01:19:45,578 --> 01:19:47,480 说话人 SPEAKER_01：基本上是无法控制的。
826 01:19:48,221 --> 01:19:55,110 说话人 SPEAKER_01：所以这个人基本上是照搬了蝙蝠，并认为因为它的形状像蝙蝠，所以它就能飞，对吧？
827 01:19:55,131 --> 01:19:56,332 说话人 SPEAKER_01：这看起来有点天真。
828 01:19:56,453 --> 01:20:13,475 说话者 SPEAKER_01：这根本不天真，但有点过于接近生物学，有点被它迷住了，没有像莱特兄弟那样建造模型、滑翔机、风筝或风洞。
829 01:20:13,456 --> 01:20:16,238 说话者 SPEAKER_01：所以他有点过于接近生物学。
830 01:20:16,819 --> 01:20:27,350 说话者 SPEAKER_01：另一方面，他有一个很大的遗产，那就是他的第二架飞机叫做“Avion”，这个词在法语、西班牙语和葡萄牙语中都是飞机的意思。
831 01:20:27,371 --> 01:20:28,412 说话者 SPEAKER_01：所以他有一些遗产。
832 01:20:29,932 --> 01:20:31,154 说话人 SPEAKER_01: 他有点儿神秘。
833 01:20:31,175 --> 01:20:33,237 说话人 SPEAKER_01: 你知道，这还是在开源之前。
834 01:20:33,737 --> 01:20:36,220 说话人 SPEAKER_01: 所以你从来没有听说过他。
835 01:20:37,640 --> 01:20:38,282 说话人 SPEAKER_01: 非常感谢你。
836 01:20:46,547 --> 01:20:49,693 说话人 SPEAKER_02: 谢谢。
837 01:20:49,733 --> 01:20:50,453 说话人 SPEAKER_02: 谢谢。
838 01:20:50,474 --> 01:20:51,154 说话人 SPEAKER_02: 谢谢，Jeff。
839 01:20:51,234 --> 01:20:51,935 说话人 SPEAKER_02: 谢谢，Jan。
840 01:20:53,578 --> 01:20:54,980 说话人 SPEAKER_02: 请打开会议室的灯光，好吗？
841 01:20:55,360 --> 01:20:58,605 说话人 SPEAKER_02: 我们有两个麦克风，还有时间问几个问题。
842 01:20:59,667 --> 01:21:00,789 说话人 SPEAKER_02: 请打开会议室的灯光。
843 01:21:02,572 --> 01:21:03,694 说话人 SPEAKER_02: 我知道它们之前已经打开了。
844 01:21:06,158 --> 01:21:06,838 说话人 SPEAKER_02: 是的。
845 01:21:07,819 --> 01:21:12,386 说话人 SPEAKER_02: 首先，让我们为 Jan 和 Jeff 的精彩演讲鼓掌。
846 01:21:21,546 --> 01:21:24,489 说话人 SPEAKER_02: 当有人走上麦克风时，我们先来一个小趣闻。
847 01:21:25,289 --> 01:21:28,432 说话人 SPEAKER_02：艾伦·图灵的生日是 1912 年 6 月 23 日。
848 01:21:29,755 --> 01:21:32,896 说话人 SPEAKER_02：所以今天是我们 107 周年诞辰。
849 01:21:33,417 --> 01:21:37,081 说话人 SPEAKER_02：因此，今天我们举行这次难忘的图灵讲座非常合适。
850 01:21:37,341 --> 01:21:40,885 说话人 SPEAKER_02：好的，提问。
851 01:21:43,167 --> 01:21:43,927 说话人 SPEAKER_06: 嗨，两位，谢谢。
852 01:21:44,849 --> 01:21:48,412 说话人 SPEAKER_06: 我非常感兴趣于理解推理的工作。
853 01:21:48,492 --> 01:21:50,793 说话人 SPEAKER_06: 能否给我们分享一下您的想法？
854 01:21:51,466 --> 01:21:54,609 说话人 SPEAKER_06: 神经网络推理的推理方式。
855 01:21:55,530 --> 01:22:02,859 说话人 SPEAKER_07: 好吧，神经网络在 100 毫秒内并行处理的事情上表现得相当不错。
856 01:22:04,162 --> 01:22:07,666 说话人 SPEAKER_07: 到目前为止，它们在长时间段内处理的事情上并不那么出色。
857 01:22:07,685 --> 01:22:13,453 说话人 SPEAKER_07: 尤其是人们批评神经网络的一点是它们不能进行递归。
858 01:22:14,333 --> 01:22:19,060 说话人 SPEAKER_07: 所以当我们理解一个句子时，我们可以进入一个相对从句
859 01:22:19,394 --> 01:22:20,614 说话人 SPEAKER_07: 理解相对从句。
860 01:22:20,635 --> 01:22:24,979 说话人 SPEAKER_07: 我们投入所有努力去理解那个相对从句，然后再回来。
861 01:22:25,539 --> 01:22:29,404 说话人 SPEAKER_07: 那种事情，我们刚开始能够用神经网络来做。
862 01:22:30,265 --> 01:22:31,987 说话人 SPEAKER_07: 所以 Facebook 的人已经做了很多这方面的工作。
863 01:22:32,046 --> 01:22:33,068 说话人 SPEAKER_07：谷歌的人正在做这件事。
864 01:22:33,188 --> 01:22:38,472 说话人 SPEAKER_07：但要做这样的事情，你需要某种记忆。
865 01:22:38,873 --> 01:22:45,399 说话人 SPEAKER_07：在神经网络中通常使用的方法是，你只是拥有另一组神经元，这些神经元是你已有的神经元的副本。
866 01:22:45,860 --> 01:22:47,341 说话人 SPEAKER_07：但这在生物学上是不合理的。
867 01:22:48,233 --> 01:22:50,497 说话人 SPEAKER_07：所以我总是想要一些在生物学上合理的东西。
868 01:22:51,239 --> 01:22:58,136 说话人 SPEAKER_07：在大脑中，这种记忆似乎不太可能是神经活动的副本。
869 01:22:58,617 --> 01:23:01,524 说话人 SPEAKER_07：它是一种可以重现神经活动的联想记忆。
870 01:23:02,326 --> 01:23:04,891 说话人 SPEAKER_07：但它只是用于临时事物的。
871 01:23:06,408 --> 01:23:13,395 说话人 SPEAKER_01：实际上在这方面有很多工作，就是试图填补神经网络无法进行长链推理的空白。
872 01:23:14,457 --> 01:23:29,512 说话人 SPEAKER_01：所以有一个问题，Jeff 已经长期倡导，那就是如果你有基于经典逻辑的推理，它是离散的，因此与基于梯度的学习不兼容。
873 01:23:29,493 --> 01:23:39,346 说话人 SPEAKER_01：那么如何通过用向量替换符号，用连续函数替换逻辑（基本上是参数化的连续函数）来进行推理。
874 01:23:40,087 --> 01:23:43,612 说话人 SPEAKER_01：然后如果你想要进行长链推理，你需要有一个工作记忆。
875 01:23:43,631 --> 01:23:46,195 说话人 SPEAKER_01：杰夫刚刚提到了一个使用快速权重的想法。
876 01:23:46,657 --> 01:23:48,738 说话人 SPEAKER_01：很多人正在研究所谓的记忆网络。
877 01:23:48,760 --> 01:23:59,314 说话人 SPEAKER_01：所以你基本上有一个循环神经网络，它可以访问一个独立的神经网络，这个神经网络也是可微分的，但它构建了特定的架构，使其成为关联记忆。
878 01:23:59,293 --> 01:24:02,177 说话人 SPEAKER_01：这类方法在简单情况下是有效的。
879 01:24:02,279 --> 01:24:19,345 说话人 SPEAKER_01：它们还没有真正扩展到大规模问题，但关于基本上不直接计算答案的神经网络的研究非常有趣，这些神经网络产生一个专门设计来回答所提问题的神经网络。
880 01:24:19,712 --> 01:24:22,617 说话人 SPEAKER_01：视觉问答是这类问题的典型例子。
881 01:24:22,917 --> 01:24:32,949 说话人 SPEAKER_01：你向系统展示一个复杂图像，然后问它，你知道，这张图片中有没有比两个立方体大的中国球体，对吧？
882 01:24:32,970 --> 01:24:37,836 说话人 SPEAKER_01：然后神经网络会生成另一个神经网络，它具有回答该问题的正确模块。
883 01:24:38,476 --> 01:24:41,220 说话人 SPEAKER_01：你可以用反向传播训练整个系统，它竟然能工作真是太神奇了。
884 01:24:42,462 --> 01:24:42,862 说话人 SPEAKER_01：但是它确实工作了。
885 01:24:42,902 --> 01:24:45,905 说话人 SPEAKER_02：还有一个问题？
886 01:24:47,623 --> 01:24:48,926 说话人 SPEAKER_02：哦，对不起，是的，请继续。
887 01:24:49,967 --> 01:24:51,631 说话人 SPEAKER_04：来自东北大学的 Yifan。
888 01:24:52,032 --> 01:25:00,126 说话人 SPEAKER_04：所以我知道很多人对神经网络有疑问，我们只知道神经网络是有效的，但我们不知道它是如何工作的。
889 01:25:00,546 --> 01:25:03,372 说话人 SPEAKER_04：那么您对这个问题有什么看法？
890 01:25:04,381 --> 01:25:05,143 说话人 SPEAKER_01：并不完全是这样。
891 01:25:05,182 --> 01:25:07,207 说话人 SPEAKER_01：我的意思是，我们当然有一些理解。
892 01:25:07,770 --> 01:25:10,457 说话人 SPEAKER_01：我的意思是，首先，我们有权访问机器内部的一切，对吧？
893 01:25:11,378 --> 01:25:16,894 说话人 SPEAKER_01：我的意思是，显然这些模型有数亿个参数，你知道，内部有成千上万的变量。
894 01:25:16,993 --> 01:25:17,836 说话人 SPEAKER_01：这将会很复杂。
895 01:25:17,916 --> 01:25:21,225 说话人 SPEAKER_01：它必须很复杂，因为我们希望他们解决复杂的问题。
896 01:25:21,204 --> 01:25:27,091 说话人 SPEAKER_01：所以认为你能完全理解每一个细节是徒劳的。
897 01:25:28,453 --> 01:25:43,969 说话人 SPEAKER_01：另一方面，我认为对于例如为什么优化在大网络中似乎有效，为什么系统似乎不会陷入局部最小值，或者学习到的表示类型等，有很多理论上的理解。
898 01:25:44,630 --> 01:25:49,795 说话人 SPEAKER_07：关于这一点，我也有话要说，就是大多数人做的事情，
899 01:25:50,078 --> 01:25:51,279 说话人 SPEAKER_07：我们不知道它们是如何工作的。
900 01:25:51,841 --> 01:25:53,524 说话人 SPEAKER_07：我们根本不知道它们是如何做到的。
901 01:25:54,064 --> 01:25:57,850 说话人 SPEAKER_07：所以如果你用神经网络代替人，你并不比用人更糟。
902 01:25:58,471 --> 01:26:03,761 说话人 SPEAKER_07：实际上，你可能更好，因为你可以用神经网络更好地纠正偏差，而不是用人。
903 01:26:04,362 --> 01:26:12,576 说话人 SPEAKER_07: 但是还有其他任务，可能需要使用数据中的数十万个弱规则来进行预测。
904 01:26:13,449 --> 01:26:15,512 说话人 SPEAKER_07: 没有简单的规则。
905 01:26:15,814 --> 01:26:17,697 说话人 SPEAKER_07: 只有大量的弱规则。
