1 00:00:00,908 --> 00:00:02,549 演讲者 演讲者_06: 大家好。
644 01:08:57,427 --> 01:09:04,095 讲者 SPEAKER_00：他继续非常努力地应对科学中的一些最大挑战，例如意识的本质。
645 01:09:04,345 --> 01:09:09,773 讲者 SPEAKER_00：他非常努力地使蒙特利尔成为地球上最重要的 AI 中心之一，并取得了一些成功。
646 01:09:10,354 --> 01:09:14,779 说话人 SPEAKER_00：说到这个星球，他致力于拯救它免受环境灾难。
647 01:09:15,280 --> 01:09:23,351 说话人 SPEAKER_00：他在远程参加会议方面有一些非常有趣的想法，以确保我们减少会议的碳足迹。
648 01:09:23,832 --> 01:09:27,297 说话人 SPEAKER_00：这次会议之后，我特别感兴趣的是他的这些想法。
649 01:09:28,179 --> 01:09:29,981 说话人 SPEAKER_00：所以请和我一起欢迎 Yoshua。
650 01:09:36,340 --> 01:09:36,780 说话人 SPEAKER_08: 谢谢。
651 01:09:36,841 --> 01:09:37,421 说话人 SPEAKER_08: 非常感谢。
652 01:09:38,842 --> 01:09:56,425 说话人 SPEAKER_08: 就像 Jeff 和 Jans 一样，我的演讲将展望如何扩展过去几年深度学习取得的惊人成功。
653 01:09:56,404 --> 01:10:12,641 说话人 SPEAKER_08: 我将承接 Jan 提到的推理问题，以及更广泛地，Dan Kahneman 所说的系统 2 处理。
654 01:10:12,958 --> 01:10:21,568 讲者 SPEAKER_08：首先，我想说几句关于为什么我们需要思考归纳偏置的一般性话语。
655 01:10:23,530 --> 01:10:31,078 讲者 SPEAKER_08：90 年代的理论，无自由定理告诉我们，没有完全通用的机器学习。
656 01:10:31,099 --> 01:10:32,680 讲者 SPEAKER_08：所以没有完全通用的 AI。
657 01:10:33,582 --> 01:10:40,248 讲者 SPEAKER_08：因此我们需要考虑
658 01:10:40,229 --> 01:10:44,552 讲者 SPEAKER_08: 但是问题来了，你知道，我们应该放入多少先验知识？
659 01:10:45,293 --> 01:10:50,099 讲者 SPEAKER_08: 当然，进化已经在各种动物中放入了许多非常具体的先验知识。
660 01:10:50,479 --> 01:11:04,413 讲者 SPEAKER_08: 但是我相信，进化在人类大脑中实现的先验知识，其中一些是非常非常通用的，使我们能够处理各种各样的任务。
661 01:11:04,394 --> 01:11:13,425 讲者 SPEAKER_08: 此外，因为它们非常通用，所以不需要很多比特来指定，这意味着进化可能更容易发现它们。
662 01:11:14,332 --> 01:11:31,548 演讲者 SPEAKER_08：所以，深度学习已经包含了这些先验知识中的许多，你知道的，卷积神经网络是一个很好的例子，它利用了图像对平移和其他变形的不变性。
663 01:11:32,090 --> 01:11:43,260 演讲者 SPEAKER_08：但我特别感兴趣，并且已经持续了二三十年，的是具有组合或指数优势的先验知识。
664 01:11:43,239 --> 01:11:59,502 演讲者 SPEAKER_08：几年前，我写了几篇论文，讨论了当前深度学习中由于每一层的特征组合和层之间的组合而存在的组合优势。
665 01:12:01,104 --> 01:12:11,677 演讲者 SPEAKER_08：今天我将告诉你们另一种组合优势，我认为我们在意识处理和推理中发现了这种优势。
666 01:12:12,282 --> 01:12:19,731 讲者 SPEAKER_08：因此，我想提到这本书，《思考，快与慢》，它对我影响很大。
667 01:12:20,393 --> 01:12:26,442 讲者 SPEAKER_08：书中讲述了这两个系统，系统一和系统二，作为大脑进行的两种计算方式。
668 01:12:27,002 --> 01:12:29,626 讲者 SPEAKER_08：并不是说大脑的不同部分在执行这些功能。
669 01:12:29,666 --> 01:12:31,408 讲者 SPEAKER_08：显然，我们不知道这个答案。
670 01:12:31,788 --> 01:12:39,640 说话人 SPEAKER_08: 但在行为层面上，它们真的很不同，是两种不同的计算方式。
671 01:12:39,619 --> 01:12:40,481 说话人 SPEAKER_08: 计算。
672 01:12:41,023 --> 01:12:57,779 说话人 SPEAKER_08: 因此，系统一基本上可以被标记为直觉或无意识的，可以在没有语言的情况下完成，实际上我们无法用语言描述在那个层面的行为。
673 01:12:57,760 --> 01:13:00,769 说话人 SPEAKER_08: 而当前的深度学习在这些方面非常出色。
674 01:13:01,171 --> 01:13:03,457 演讲者 SPEAKER_08：这就是思考系统 1 的一种方式。
675 01:13:04,761 --> 01:13:11,381 演讲者 SPEAKER_08：当前的深度强化学习在这些方面非常出色，所以需要大量练习的习惯性行为。
676 01:13:12,052 --> 01:13:30,541 演讲者 SPEAKER_08：现在，系统二处理允许我们进行涉及意识的活动，通常需要更多时间计算的活动，通常是顺序性的活动，在计算的每一步中，我们只检查几个元素。
677 01:13:30,720 --> 01:13:32,863 演讲者 SPEAKER_08：这是意识的一个非常特别的属性。
678 01:13:33,725 --> 01:13:41,537 演讲者 SPEAKER_08: 这也是我们人类推理方式的一个特性，并不一定是我们编程的机器的特性。
679 01:13:41,516 --> 01:13:45,887 演讲者 SPEAKER_08: 我的演讲将讨论深度学习如何做更多这些事情。
680 01:13:47,792 --> 01:13:58,597 演讲者 SPEAKER_08: 我之所以对这个问题的答案感兴趣，是因为我们做这些系统 2 任务的方式中，有一些东西是组合性的，因为我们所做的是，我们拿已知的事物，并以动态的方式重新组合它们。
681 01:13:58,578 --> 01:14:08,252 演讲者 SPEAKER_08: 他的组合性，因为我们所做的是，我们拿已知的事物，并以动态的方式重新组合它们。
682 01:14:08,273 --> 01:14:16,145 演讲者 SPEAKER_08：所以我这里有一些图片在下面，左边是系统一，你在驾驶自己的路径，同时可以和另一个人交谈。
683 01:14:16,166 --> 01:14:20,011 演讲者 SPEAKER_08：你不需要将你的注意力集中在驾驶上，你应该，但是...
684 01:14:19,992 --> 01:14:26,121 演讲者 SPEAKER_08：右边，你在一个新的地方驾驶，可能发生了一些奇怪的事情。
685 01:14:26,462 --> 01:14:28,625 演讲者 SPEAKER_08：你不想被别人打扰，和你交谈。
686 01:14:28,685 --> 01:14:38,699 演讲者 SPEAKER_08：你需要全神贯注于任务，并且能够创新，规划新的路径，因为有一些施工或其他事情。
687 01:14:38,740 --> 01:14:44,429 演讲者 SPEAKER_08：所以这种能力是我想要关注的重点。
688 01:14:45,029 --> 01:14:48,935 演讲者 SPEAKER_08：这种能力特别有趣的地方，我将会重点关注。
689 01:14:48,916 --> 01:15:01,979 演讲者 SPEAKER_08：这种动机，除了从人类那里得到的灵感之外，还在于它允许我们，比如在驾驶的例子中，处理与我们训练经验中看到的情况截然不同的非常新颖的情况。
690 01:15:03,715 --> 01:15:12,506 讲者 SPEAKER_08：这就是我所说的分布外泛化或分布外迁移，其中存在一些适应性调整。
691 01:15:13,787 --> 01:15:15,329 讲者 SPEAKER_08：这是其中一个动机。
692 01:15:15,951 --> 01:15:32,591 讲者 SPEAKER_08：当然，另一个动机是尝试执行我们通常与语言相关联的任务，并学习能够捕捉这些高级表示的高级表示。
693 01:15:32,572 --> 01:15:38,041 讲者 SPEAKER_08：这些描述可以即时重新组合的组件、概念。
694 01:15:38,622 --> 01:15:43,029 演讲者 SPEAKER_08：许多这些概念也与如何影响世界有关。
695 01:15:43,069 --> 01:15:48,319 演讲者 SPEAKER_08：换句话说，因果性，这也是我今天要重点讨论的主题之一。
696 01:15:49,328 --> 01:15:53,554 演讲者 SPEAKER_08：然后还有对这个问题的第三种视角。
697 01:15:53,634 --> 01:15:55,917 演讲者 SPEAKER_08：所有这些只是对同一个问题的不同看法。
698 01:15:56,958 --> 01:16:18,828 演讲者 SPEAKER_08：在分布之外进行泛化的需求对于环境中的智能体来说尤为重要，因为世界在变化，这些智能体需要理解这个世界是如何运作的，以便当事情发生变化时，因为其他智能体的干预或其他原因，他们可以高效地处理这些变化。
699 01:16:18,809 --> 01:16:38,011 演讲者 SPEAKER_08：还有另一个我今天不会谈论的方面，那就是我们对世界的理解，我们正在建立的世界模型也帮助我们找到一种好的策略来探索世界，以有目的地寻求新的知识，这正是婴儿非常、非常擅长的事情。
700 01:16:39,132 --> 01:16:40,614 演讲者 SPEAKER_08：所以这三者并不是独立的。
701 01:16:40,635 --> 01:16:45,980 演讲者 SPEAKER_08：我试图说服你们，这些都是同一主题的不同方面。
702 01:16:47,564 --> 01:16:52,409 演讲者 SPEAKER_08：我想回到先验的概念。
703 01:16:52,970 --> 01:17:10,131 演讲者 SPEAKER_08：当我阅读机器学习论文时，我发现作者能够将新的算法用归纳偏差或先验来表述，这能真正解释统计优势，这让我觉得非常兴奋。
704 01:17:10,211 --> 01:17:13,555 演讲者 SPEAKER_08：为什么这个算法在某些情况下泛化得更好？
705 01:17:13,534 --> 01:17:19,385 演讲者 SPEAKER_08：这个特定的机器学习系统利用了关于世界的哪些假设？
706 01:17:21,108 --> 01:17:25,135 说话者 SPEAKER_08：我认为当我们能够表达出来时，这真是太好了。
707 01:17:25,175 --> 01:17:33,028 说话者 SPEAKER_08：那么让我谈谈我对其中一些感兴趣的内容，它们都与这种意识处理和系统 2 处理的概念相关。
708 01:17:33,007 --> 01:18:01,952 说话者 SPEAKER_08：我将更多地谈论的是我几年前称之为“意识先验”，它表明我们意识中操作的语义高级变量具有一个联合分布，这个分布可以用一个稀疏图模型、一个稀疏因子图很好地总结，其中有许多依赖关系，但每次只涉及少数变量。
709 01:18:01,931 --> 01:18:28,006 说话者 SPEAKER_08：这些高级变量的另一个特性是它们通常在某种意义上涉及因果关系，涉及在世界中能够做事情、能够产生影响、有意图去计划这些效果，以及被控制的对象，它们是后果，感受到后果。
710 01:18:27,987 --> 01:18:31,532 演讲者 演讲者_08：所以，很多语言实际上都是关于这些事情。
711 01:18:31,792 --> 01:18:40,604 演讲者 演讲者_08：从某种意义上说，我们一直在操纵这些因果相关的实体。
712 01:18:41,506 --> 01:18:56,728 演讲者 演讲者_08：关于这一点，我不会过多谈论，但在文献中已经有所讨论，那就是这个稀疏因子图，你可以把它想象成图中连接大量变量的那些因子作为规则。
713 01:18:56,707 --> 01:19:12,559 演讲者 演讲者_08：但当然，这里会有一些软规则，毕竟能量网络就是这样，但规则可以应用于许多变量元组，对吧，所以相同的规则可以在很多地方应用。
当然，我们在机器学习的许多方面已经看到了这一点，但这是我们需要记住的。
715 01:19:16,806 --> 01:19:32,671 说话者 SPEAKER_08：当我谈到注意力机制时，您会看到这种在神经网络中将对象作为可以应用相同计算实例进行操作，不同实例可以操作的概念。
716 01:19:33,327 --> 01:19:45,743 说话者 SPEAKER_08：我想谈谈另一个先验条件，这也与因果关系有关，也就是说，我提到有一种假设，即依赖关系可以用稀疏图来表示。
现在我所提到的是我们关注的是分布外泛化，换句话说，世界是如何变化的，以及学习机器如何应对这些变化？
718 01:20:00,192 --> 01:20:01,654 演讲者 SPEAKER_08: 所以这里我们需要假设。
719 01:20:02,515 --> 01:20:13,354 演讲者 SPEAKER_08: 我将要讨论的假设是，这些变化是稀疏的，并且如果使用正确的表示，可能只发生在某个地方。
720 01:20:13,574 --> 01:20:21,628 演讲者 SPEAKER_08: 所以在正确的表示下，正确的高级表示下，世界上发生变化的事物可以被定位，可以用语言来表达。
721 01:20:21,649 --> 01:20:25,255 演讲者 SPEAKER_08: 所以每次我们用语言来解释
722 01:20:25,234 --> 01:20:27,077 说话人 SPEAKER_08: 发生在世界上的一个变化。
723 01:20:27,398 --> 01:20:29,119 说话人 SPEAKER_08: 所以，你知道，一个句子非常短。
724 01:20:29,199 --> 01:20:30,600 说话人 SPEAKER_08: 你只能指代几个事物。
725 01:20:31,181 --> 01:20:36,988 说话人 SPEAKER_08: 所以这是世界变化的一个惊人的特性，我们应该在机器学习中充分利用它。
726 01:20:38,770 --> 01:20:52,828 讲者 SPEAKER_08：然后，我所在领域的人一直在关注的一个假设，我不会过多谈论，就是在这个包含世界的模型中学习到的大部分事物
727 01:20:53,162 --> 01:21:00,293 讲者 SPEAKER_08：因果关系尽管在分布变化中保持稳定。
728 01:21:00,314 --> 01:21:06,684 讲者 SPEAKER_08：所以构建一个好的模型的关键点在于它将能够对那些变化保持鲁棒性。
729 01:21:06,743 --> 01:21:10,609 讲者 SPEAKER_08：是的，事物可能需要改变，需要适应，但尽可能少地改变。
730 01:21:11,652 --> 01:21:20,064 演讲者 SPEAKER_08：这与另一个假设相联系，即变化是局部的，我们操纵的大多数关于世界的概念都是稳定的。
731 01:21:20,045 --> 01:21:21,627 演讲者 SPEAKER_08：这是我们想要追求的。
732 01:21:21,667 --> 01:21:39,132 演讲者 SPEAKER_08：然后还有另一个我不太会多谈的，但也与意识先验相关，它说我们关心的那种时间依赖性，人类能够处理的时间依赖性，
733 01:21:39,113 --> 01:21:42,978 演讲者 SPEAKER_08：涉及的事件非常少。
因此，我们可以推理的因果链非常短，这导致的结果是，基本上我们可以处理并本质上消除长期依赖和梯度消失的问题，如果假设是正确的话。
735 01：22：01,538 --> 01：22：03,822 演讲者 SPEAKER_08：好的，现在让我深入探讨一下其中的一些事情。
736 01：22：04,847 --> 01：22：07,610 议长 SPEAKER_08：我已经用了差不多一半的时间。
737 01：22：08,733 --> 01：22：14,460 议长 SPEAKER_08：好吧，那么我们为什么要关心分布的变化呢？
738 01:22:14,500 --> 01:22:27,395 讲者 SPEAKER_08：我认为这就是进化可能将这类特殊的处理系统置于人类以及可能哺乳动物甚至鸟类中的原因。
739 01:22:27,376 --> 01:22:51,679 讲者 SPEAKER_08：以便能够处理那些分布的变化，在复杂世界中，它们不是带着对世界的全部知识出生的，必须处理真实的不稳定性，因为其他代理正在做事情，或者从它们的角度来看，不稳定性，因为它们只能感知世界的一部分，然后随着他们生活的继续，他们会发现新的方面。
740 01:22:51,658 --> 01:22:56,586 讲者 SPEAKER_08：我认为这对于必须与其他代理打交道的代理尤其重要。
741 01:22:56,605 --> 01:23:06,881 讲者 SPEAKER_08：所以，如果许多人工智能研究人员对多代理场景感兴趣，进化就是这样一个例子，其中没有固定的分布，对吧？
742 01:23:06,900 --> 01:23:12,269 演讲者 SPEAKER_08：代理看到的分布不断变化，因为其他人正在做事情，他们的策略也在变化等等。
743 01:23:13,090 --> 01:23:18,358 演讲者 SPEAKER_08：所以，这是世界中学代理普遍存在的问题。
744 01:23:19,823 --> 01:23:41,949 演讲者 SPEAKER_08：现在，这个问题，即分布外泛化问题，是我们想要解决的，然后我们想要如何解决这个问题，是语言学家们长期以来一直在讨论的，被称为系统性或系统泛化，它的想法是为了应对世界中的新情况，
745 01:23:41,930 --> 01:23:51,625 演讲者 SPEAKER_08：如果我们可以构建具有这些可以随时重组的小部分来解释我们所看到的世界模型，那将非常、非常方便。
746 01:23:51,645 --> 01:24:03,363 演讲者 SPEAKER_08：就像图片中展示的那样，我们拿已知的不同概念，以某种方式解释这个特殊电机概念的含义。
747 01:24:03,344 --> 01:24:18,365 所以这种动态的概念重组是我想要更好地理解的问题，我们如何实现它，它有助于我们应对那些看似不可能的分布变化。
748 01:24:18,345 --> 01:24:35,747 但我们可以阅读这部小说，我们可以理解它，我们甚至可以阅读开头并继续下去，我们做得很好。
749 01:24:36,188 --> 01:24:43,037 我们可以阅读这部小说，我们可以理解它，我们可以甚至阅读开头并继续下去，我们做得很好。
750 01:24:43,016 --> 01:25:02,284 讲者 SPEAKER_08：关于当前机器学习在分布变化方面如何失败或至少性能下降，已经有大量论文进行了探讨，这些变化与人类在类似任务上的表现截然不同。
751 01:25:02,925 --> 01:25:11,757 讲者 SPEAKER_08：我们一直在研究这个问题，我们最近有一篇关于视觉问答中这个问题的论文。
752 01:25:13,375 --> 01:25:28,341 讲者 SPEAKER_08：好的，我刚才谈到了系统 2，我认为这是正确的，它与几十年前经典符号 AI 设定的目标紧密相关。
753 01:25:28,481 --> 01:25:36,074 讲者 SPEAKER_08：那么，这个旧程序与我们应该花更多时间研究的新程序之间有什么联系呢？
754 01:25:36,055 --> 01:25:41,229 演讲者 SPEAKER_08: 嗯，我们希望兼得鱼与熊掌，对吧？
755 01:25:41,248 --> 01:25:46,302 演讲者 SPEAKER_08: 我们希望避免一些经典人工智能基于规则的符号操作中的陷阱。
756 01:25:46,422 --> 01:25:51,938 演讲者 SPEAKER_08: 我们希望构建能够学习和大规模高效学习的系统。
757 01:25:51,917 --> 01:25:55,481 演讲者 SPEAKER_08: 我们还希望构建基于系统一的系统。
758 01:25:55,601 --> 01:25:57,703 讲者 SPEAKER_08: 记得我说过深度学习在系统一上做得很好。
759 01:25:58,704 --> 01:26:03,409 讲者 SPEAKER_08: 但实际上，那些高级概念，我们并不能仅仅抽象地操作它们。
760 01:26:03,489 --> 01:26:05,311 讲者 SPEAKER_08: 这确实有很好的理由。
761 01:26:05,533 --> 01:26:08,515 讲者 SPEAKER_08: 它们需要与现实世界相连接。
762 01:26:08,576 --> 01:26:17,064 演讲者 SPEAKER_08：但是，我还会论证，为了在所讨论的高层次概念中高效搜索，你需要系统一来猜测出好的路径、好的计划。
763 01:26:17,045 --> 01:26:27,498 演讲者 SPEAKER_08：而且，如果你注意到，你并没有意识到你的大脑是如何找到一条好路径的。
764 01:26:28,279 --> 01:26:34,368 演讲者 SPEAKER_08：这就是，如果你注意到的话，你并不知道自己大脑是如何找到一条好路径的。
765 01:26:34,467 --> 01:26:35,529 演讲者 SPEAKER_08：它只是自然而然地出现在你面前，对吧？
766 01:26:37,332 --> 01:26:39,795 说话人 SPEAKER_08：或者好路径或者危险路径，例如。
767 01:26:39,774 --> 01:26:42,797 说话人 SPEAKER_08：所以这是由系统 1 处理的事情。
768 01:26:44,500 --> 01:26:59,154 说话人 SPEAKER_08：另一件事是，我在几十年前投入了大量时间思考并证明分布式表示的重要性，这是解释神经网络和深度学习成功的关键因素之一。
769 01:26:59,755 --> 01:27:00,654 说话人 SPEAKER_08：所以我们要保留这一点。
770 01:27:00,676 --> 01:27:07,301 演讲者 SPEAKER_08：我们希望将对象表示为属性向量，这些属性是通过学习得到的。
771 01:27:07,282 --> 01:27:15,417 演讲者 SPEAKER_08：最后，我们希望能够操纵不确定性，这并不总是通过简单的操作就能做到的。
772 01:27:16,342 --> 01:27:39,667 演讲者 SPEAKER_08：但与此同时，我们希望引入一些我们在某些规则和事实以及推理工作中发现的优势，这些规则和事实使得以新的方式结合规则和事实进行系统化泛化变得自然。
773 01:27:39,648 --> 01:27:52,948 演讲者 SPEAKER_08：由此产生了一个有趣的想法，我们在深度学习中很少考虑，那就是我们希望能够将知识分解成更小的部分。
774 01:27:53,181 --> 01:28:00,813 演讲者 SPEAKER_08：这些可以互相交换，这样我们就可以用新的方式操纵变量和实例。
775 01:28:01,673 --> 01:28:05,880 演讲者 SPEAKER_08：我将就此谈谈间接引用。
776 01:28:07,082 --> 01:28:19,140 演讲者 SPEAKER_08：所以我认为将使我们能够在深度学习中做这些事情的构建块本质上是注意力及其变体。
777 01:28:19,199 --> 01:28:22,885 演讲者 SPEAKER_08：注意力是意识处理的一个关键成分。
778 01:28:22,864 --> 01:28:29,015 演讲者 SPEAKER_08：它允许人们关注几个元素，但实际上还有很多其他内容。
779 01:28:31,060 --> 01:28:32,561 演讲者 SPEAKER_08：所以 Jeff 已经谈到了 Transformer。
780 01:28:32,582 --> 01:28:38,072 演讲者 SPEAKER_08：Transformer 基于我们为机器翻译引入的这些软注意力机制。
781 01:28:38,051 --> 01:28:56,819 演讲者 SPEAKER_08：其中，我们从两个模块中匹配一个键和一个查询，一个是顶部的模块，比如说，另一个是底部的模块之一，当匹配良好时，就会从底部模块向顶部模块发送一些值向量。
782 01:28:56,800 --> 01:29:09,043 讲者 SPEAKER_08: 实际上，它所做的就是将神经网络从操作向量的机器转变为操作向量集的机器。
783 01:29:09,604 --> 01:29:15,417 讲者 SPEAKER_08: Jeff 已经告诉你们这如何在胶囊设置中发挥作用，但实际上它比这更通用。
784 01:29:17,100 --> 01:29:33,609 讲者 SPEAKER_08: 有趣的是，像这样的注意力机制作为大脑中较大实体（如模块）之间通信的方式，需要以方向表示事物的名称。
785 01:29:34,229 --> 01:29:38,738 讲者 SPEAKER_08: 因此，注意力机制允许模块之间建立动态连接。
786 01:29:38,717 --> 01:29:51,778 讲者 SPEAKER_08: 在传统的神经网络中，从神经元 A 到神经元 B 的连接始终存在，连接它们的权重也不需要标记来说明，这是从神经元 A 传来的信号，对吧？
787 01:29:52,179 --> 01:30:04,337 讲者 SPEAKER_08: 所以神经元 B 知道这里的信息来自神经元 A。但如果神经元 B 得到的信息可能来自 A、C 或 D，那么这对它来说就非常有用了。
788 01:30:04,317 --> 01:30:22,038 讲者 SPEAKER_08: 通信不仅要包括值，还要包括对应于注意力机制中的键，这本质上就像类型或名称，允许间接引用内容来源。
789 01:30:23,115 --> 01:30:27,572 讲者 SPEAKER_08: 因此，它使我们能够跟踪这些实体，这些实体不再是像胶囊那样的。
790 01:30:28,555 --> 01:30:34,998 讲者 SPEAKER_08：所以它们不是单个数字，而更像是可以传递和操作的对象。
791 01:30:36,109 --> 01:30:43,100 讲者 SPEAKER_08：好的，我想说几句关于与神经科学和认知神经科学之间联系的话。
792 01:30:44,221 --> 01:30:52,373 讲者 SPEAKER_08：以前，比如说在上个世纪，由于各种原因，研究意识在许多科学领域都是禁忌，这些原因我无法一一细说。
793 01:30:52,413 --> 01:30:53,815 讲者 SPEAKER_08：但幸运的是，这种情况已经改变了。
794 01:30:53,836 --> 01:31:05,171 讲者 SPEAKER_08：特别是在认知神经科学领域，本世纪及其前一个世纪的末期有很多研究，特别是 Bars 的全球工作空间理论，以及本世纪由 Stan Dehaene 进行的最新研究，这些理论真正确立了这些理论来解释许多客观的神经科学观察。
795 01:31:05,152 --> 01:31:16,060 讲者 SPEAKER_08：有趣的是，我认为，对于机器学习来说，现在来引入一些不同的东西，引入，你知道，这有什么意义？
796 01:31:16,962 --> 01:31:25,069 讲者 SPEAKER_08：对于机器学习来说，现在来引入一些不同的东西，引入，你知道，这有什么意义？
797 01:31:25,168 --> 01:31:35,158 讲者 SPEAKER_08：为什么大脑会有这种瓶颈，信息必须通过这个瓶颈，只有少数元素被广播到大脑的其他部分？
798 01:31:35,137 --> 01:31:39,546 讲者 SPEAKER_08：我们为什么会有只包含六七个元素的短期记忆呢？
799 01:31:39,587 --> 01:31:40,328 讲者 SPEAKER_08：这说不通。
800 01:31:40,347 --> 01:31:43,014 讲者 SPEAKER_08：我的计算器都比这做得好。
801 01:31:43,054 --> 01:31:44,636 讲者 SPEAKER_08：所以这肯定有原因。
802 01:31:45,297 --> 01:31:47,662 说话人 SPEAKER_08：我认为机器学习可以帮助我们揭示这些原因。
803 01:31:49,414 --> 01:31:55,010 说话人 SPEAKER_08：所以我会跳过那个，但底线是让意识中的魔法消失。
804 01:31:56,594 --> 01:31:58,899 说话人 SPEAKER_08：与语言有联系，但我将跳过这一点。
805 01:32:00,966 --> 01:32:05,618 说话人 SPEAKER_08：我已经提到了意识先验，但让我尝试说服你们。
806 01:32:05,597 --> 01:32:24,381 讲者 SPEAKER_08：那么，我们正在讨论关于世界的假设，而我们用语言处理的概念有一种非凡的特性，那就是在一个句子中，即使这个句子包含的变量很少，我们也可以说出具有非常高概率的真实事物。
807 01:32:24,681 --> 01:32:29,006 讲者 SPEAKER_08：如果你这么想，如果我试图根据其他四个像素来预测一个像素，
808 01:32:28,987 --> 01:32:32,112 讲者 SPEAKER_08：我通常无法做出非常强的预测。
809 01:32:32,592 --> 01:32:36,479 讲者 SPEAKER_08：而我可以说出类似的话，如果我扔下球，它就会落在地上。
810 01:32:36,618 --> 01:32:37,900 演讲者 SPEAKER_08: 这几乎是肯定的。
811 01:32:38,542 --> 01:32:52,024 演讲者 SPEAKER_08: 所以这表明在那个表示层面上，我们的知识以这种非常稀疏的图的形式表示，其中每个依赖关系，这些因素，涉及两个、三个、四个、五个实体，就这么多。
812 01:32:52,003 --> 01:33:02,199 演讲者 SPEAKER_08: 当然，它们之间以复杂的方式相互连接，但推理就是通过遍历这个图来推断我们关心的东西。
813 01:33:02,737 --> 01:33:06,583 演讲者 SPEAKER_08: 好的，这就是稀疏性假设。
814 01:33:07,645 --> 01:33:15,899 讲者 SPEAKER_08: 我提到的另一个是，不仅图是稀疏的，而且当它变化时，它以稀疏的方式变化。
815 01:33:17,182 --> 01:33:23,613 讲者 SPEAKER_08: 好的，让我跳过元学习，因为时间飞逝。
816 01:33:23,594 --> 01:33:25,457 讲者 SPEAKER_08: 那么为什么它会以稀疏的方式变化呢？
817 01:33:25,497 --> 01:33:28,923 讲者 SPEAKER_08: 直观地说，它以稀疏的方式变化是因为物理学的原理。
818 01:33:29,666 --> 01:33:35,617 演讲者 SPEAKER_08：代理在特定时间、特定地点做某事，并产生效果。
819 01:33:37,239 --> 01:33:42,430 演讲者 SPEAKER_08：最终，这种效果可能对整个宇宙产生后果，但这需要时间。
820 01:33:42,409 --> 01:34:03,421 演讲者 SPEAKER_08：因此，如果我们能构建出具有正确抽象的世界模型，将那些变化仅锁定在一个或几个变量上，那么我们将能够适应这些变化，因为我们不需要那么多的数据，那么多的观察，
821 01:34:03,402 --> 01:34:05,244 演讲者 SPEAKER_08：以便弄清楚发生了什么变化。
822 01:34:05,645 --> 01:34:18,828 演讲者 SPEAKER_08：这与我从 Bernard Shopkoff 及其合作者那里学到的美丽理论和概念有关，称为独立机制。
823 01:34:18,809 --> 01:34:26,204 演讲者 SPEAKER_08：这里以图形方式展示，我有一个关于孩子和眼镜的小例子。
824 01:34:26,244 --> 01:34:34,421 演讲者 SPEAKER_08：所以，如果我现在看到你，然后我戴上一些深色眼镜，发生的事情是只有一个比特发生了变化，对吧？
825 01:34:35,009 --> 01:34:40,359 演讲者 SPEAKER_08：在正确的抽象空间中翻转并说，我戴上了一些深色眼镜。
826 01:34:41,862 --> 01:34:54,385 讲者 SPEAKER_08：如果我要在像素级别解释这个问题，我需要改变很多东西，比如我的视觉处理方式等等，而如果我有正确的表示，我可以更容易地解释这种变化。
827 01:34:56,069 --> 01:35:06,578 讲者 SPEAKER_08：因此，结果是，当你拥有正确的模型，特别是正确的因果模型时，当分布发生变化时，你可以非常快速地适应这种变化。
828 01:35:07,059 --> 01:35:13,024 讲者 SPEAKER_08：所以这是一个主张和假设，我们一直在做大量工作来验证它。
829 01:35:14,605 --> 01:35:26,076 讲者 SPEAKER_08：特别是，我们用它来实证地展示，最近又用理论证明了正确的模型
830 01:35:26,055 --> 01:35:51,252 演讲者 SPEAKER_08：预测正确因果结构的模型，至少在这个只有两个变量 A 和 B 的非常简单的例子中，可以更快地适应由于干预而导致的分布变化，特别是对原因的干预，换句话说，需要更少的例子，因此在统计意义上更快，比错误的模型更快。
831 01:35:51,233 --> 01:35:56,341 演讲者 SPEAKER_08：所以你可以用它来确定哪个是正确的模型，对吧？
832 01:35:56,381 --> 01:36:02,149 演讲者 SPEAKER_08：所以如果你只有两个模型，你可以并行运行它们，看看哪个收敛得更快。
833 01:36:02,671 --> 01:36:07,318 演讲者 SPEAKER_08：但我们已经在另一篇论文中推广了这个方法。
834 01:36:07,297 --> 01:36:11,265 演讲者 SPEAKER_08：我们在哪里学习整个图，整个因果关系图。
835 01:36:11,286 --> 01:36:26,354 演讲者 SPEAKER_08：所以我们有一个实验，我们知道地面实况图，我们在图中的一个节点上进行干预，改变图，学习者只看到干预前后的数据，并试图学习模型。
836 01:36:26,394 --> 01:36:27,737 演讲者 SPEAKER_08：它不知道模型，对吧？
837 01:36:27,716 --> 01:36:40,920 演讲者 SPEAKER_08：但它也学会了预测干预发生的位置，在看到许多这些分布变化后，它实际上找到了正确的因果关系图，这并不明显。
838 01:36:40,979 --> 01:36:44,966 演讲者 SPEAKER_08：如果你只看到观测结果而没有分布的变化，实际上
839 01:36:45,182 --> 01:36:48,307 演讲者 SPEAKER_08：是无法正确恢复图的。
840 01:36:49,189 --> 01:36:49,430 演讲者 SPEAKER_08：好的。
841 01:36:49,990 --> 01:37:02,289 演讲者 SPEAKER_08：然后我想谈谈最近工作的最后一部分，这部分与意识先验的另一个后果有关，这更多与这些神经网络的架构有关。
842 01:37:02,310 --> 01:37:12,185 说话者 SPEAKER_08：我在开头提到，我们希望能够动态地重新组合片段，我还提到了注意力机制
