1 00:00:00,031 --> 00:00:01,552 说话人 SPEAKER_00: 我叫艾伦·伯恩斯坦。
699 00:58:51,143 --> 00:58:56,289 说话人 SPEAKER_02：例如，无人机上的杀伤决策。
700 00:58:56,309 --> 00:59:03,699 说话人 SPEAKER_02：我并没有真正深入思考过这个问题，而且我知道还有其他人对此问题思考得更多，所以我并没有什么有用的说法。
701 00:59:07,476 --> 00:59:09,559 说话人 SPEAKER_04：我想我们可能还有时间再问一个问题。
702 00:59:10,782 --> 00:59:18,932 说话人 SPEAKER_01：您提到，为了让网络越来越好，它们需要越来越多的神经元，数百万、数十亿、甚至万亿。
703 00:59:19,893 --> 00:59:26,103 说话人 SPEAKER_01：您还说过，如果摩尔定律继续适用，我们将有能力做到这一点。
704 00:59:26,523 --> 00:59:37,398 说话人 SPEAKER_01：但我的问题是，您是否真的认为摩尔定律会继续适用，还是我们会在某个时刻遇到量子效应，这可能会成为迈向下一个水平的障碍？
705 00:59:37,952 --> 00:59:41,757 说话者 SPEAKER_02：是的，关于摩尔定律的事情就像进化本身一样。
706 00:59:42,599 --> 00:59:51,369 说话者 SPEAKER_02：也就是说，15 年前，对摩尔定律的看法可能是每两年计算机速度翻一番。
707 00:59:52,010 --> 00:59:55,193 说话人 SPEAKER_02：这和之前的 VLSI 技术类似，但正在缩小并变得更快。
708 00:59:55,753 --> 00:59:57,576 说话人 SPEAKER_02：这就是摩尔定律将要实现的方式。
709 00:59:58,137 --> 01:00:00,639 说话人 SPEAKER_02：然后突然，我们遇到了一个瓶颈。
710 01:00:01,121 --> 01:00:02,663 说话人 SPEAKER_02：所以它只是横向喷射。
711 01:00:02,722 --> 01:00:04,525 说话人 SPEAKER_02：现在我们有了更多的核心。
712 01:00:05,105 --> 01:00:07,268 说话人 SPEAKER_02：每隔两年，我们的核心数量就会翻一番。
713 01:00:07,518 --> 01:00:10,126 说话人 SPEAKER_02：然后还会发生其他事情。
714 01:00:11,028 --> 01:00:18,472 说话人 SPEAKER_02：因此，为了使摩尔定律持续有效而可以开发的事物集合是一种开放性的集合。
715 01:00:19,193 --> 01:00:21,882 说话人 SPEAKER_02：这不像是在玩一个有有限规则的游戏。
716 01:00:22,688 --> 01:00:24,489 说话人 SPEAKER_02：当然，我们都是由物理规律所支配的。
717 01:00:24,911 --> 01:00:27,815 说话人 SPEAKER_02：但我们离那些粒子还远着呢。
718 01:00:28,315 --> 01:00:30,759 说话人 SPEAKER_02：而且有许许多多不同的事物可以加以利用。
历史上似乎发生的事情，我认为在一段时间内还会持续发生，就是我们只是会发现不同的方向来提高。
720 01:00:39,349 --> 01:00:43,715 发言人 SPEAKER_02：也许一切都会突然变成真正的 3D，那将是一个巨大的胜利。
721 01:00:44,936 --> 01:00:48,882 发言人 SPEAKER_02：所以我实际上认为摩尔定律的持续时间将比大多数人认为的要长。
722 01:00:48,902 --> 01:00:50,585 说话者 SPEAKER_02：我认为再过 10 年是完全合理的。
723 01:00:50,605 --> 01:00:50,824 说话人 SPEAKER_01: 谢谢。
724 01:00:50,844 --> 01:00:52,306 说话人 SPEAKER_01: 一个乐观的看法，很好。
725 01:00:54,429 --> 01:00:55,932 说话人 SPEAKER_04: 嗯，我想感谢你的问题。
726 01:00:55,952 --> 01:00:58,659 说话人 SPEAKER_04: 我想感谢 Geoffrey 那次非常精彩的演讲。
727 01:00:58,679 --> 01:01:01,786 说话人 SPEAKER_04：如果你愿意，之后可以留下来和人们非正式地聊天。
728 01:01:02,387 --> 01:01:04,612 说话人 SPEAKER_02：我想感谢 Nora 加入我们主持。
729 01:01:04,833 --> 01:01:05,112 说话人 SPEAKER_04：谢谢。
730 01:01:05,333 --> 01:01:05,594 说话人 SPEAKER_04：谢谢。
731 01:01:05,775 --> 01:01:06,094 说话人 SPEAKER_04: 谢谢。
732 01:01:06,195 --> 01:01:06,836 说话人 SPEAKER_04: 谢谢，杰弗里。
