1 00:00:05,498 --> 00:00:06,259 演讲者 演讲者_00: 下午好。
692 01:01:30,878 --> 01:01:34,141 演讲者 SPEAKER_09：这关乎我们所说的主观体验是什么。
693 01:01:34,922 --> 01:01:39,387 演讲者 SPEAKER_09：所以，我们大多数人都有一个类似于剧院的心理模型。
694 01:01:39,367 --> 01:01:42,293 演讲者 SPEAKER_09：在这个剧院里发生的事情只有我能看到。
695 01:01:42,333 --> 01:01:48,626 讲者 SPEAKER_09：如果你问一个哲学家什么是主观经验，他们会开始谈论“质料”。
696 01:01:48,646 --> 01:01:54,677 所以假设我吸了些迷幻药或者喝了很多酒，我开始看到在我面前飘浮着的小粉象。
697 01:01:54,697 --> 01:01:58,626 我告诉你，我有一种在我面前飘浮着的小粉象的主观经验。
698 01:01:59,246 --> 01:02:00,407 我到底在说什么？
699 01:02:01,068 --> 01:02:02,811 说话人 SPEAKER_09：嗯，这是我对它的分析。
700 01:02:02,911 --> 01:02:20,487 说话人 SPEAKER_09：我并不是说有一个只有我能看到的内心剧场，在这个内心剧场里，有由粉色质料构成的小粉象，有象质料，有漂浮质料，有正立质料，还有不那么大的质料，它们以某种方式混合在一起。
701 01:02:20,648 --> 01:02:24,192 说话人 SPEAKER_09：这是哲学家的理论，完全是胡说。
702 01:02:25,014 --> 01:02:28,219 说话人 SPEAKER_09：质料是哲学家对燃素说的版本。
703 01:02:28,260 --> 01:02:30,822 讲者 SPEAKER_09：化学家们有燃素来解释事物，但实际上并没有。
704 01:02:31,204 --> 01:02:34,327 讲者 SPEAKER_09：在哲学家想要的意义上，并没有任何质料。
705 01:02:34,347 --> 01:02:36,070 讲者 SPEAKER_09：所以我真正想告诉你的其实是这个。
706 01:02:36,711 --> 01:02:42,019 讲者 SPEAKER_09：当我提到一点信心时，我是说，我相信我的感知系统在欺骗我。
707 01:02:42,820 --> 01:02:45,885 讲者 SPEAKER_09：这就是为什么我说这是一种主观体验。
708 01:02:45,905 --> 01:02:54,077 讲者 SPEAKER_09：我会告诉你们它是如何欺骗我的，并不是通过告诉你们我的感知系统告诉我让神经元 53 激活。
709 01:02:54,411 --> 01:02:55,514 讲者 SPEAKER_09：因为那样对你们没有任何好处。
710 01:02:55,934 --> 01:02:56,896 讲者 SPEAKER_09：而且，我也不知道。
711 01:02:57,898 --> 01:03:05,273 讲者 SPEAKER_09：我要告诉你们它如何试图误导我，通过告诉我在这个世界上必须存在什么，它才能说出真相。
712 01:03:07,237 --> 01:03:14,833 讲者 SPEAKER_09：所以当我说我有一个主观体验，一个小粉象在我面前飘浮，这相当于说以下内容。
713 01:03:14,914 --> 01:03:21,606 讲者 SPEAKER_09：我认为我的感知系统在欺骗我，但如果世界上真的有小粉象飘浮在周围，那么它就会说出真相。
714 01:03:22,268 --> 01:03:24,771 讲者 SPEAKER_09：所以这些小粉象是现实世界中的大象。
715 01:03:24,791 --> 01:03:26,875 讲者 SPEAKER_09: 他们不是由质料构成的象。
716 01:03:26,894 --> 01:03:29,219 讲者 SPEAKER_09: 它们是现实世界中的反事实事物。
717 01:03:29,239 --> 01:03:32,485 讲者 SPEAKER_09: 如果它们存在，它们将是现实世界的事物，这就是为什么像“粉红色”
718 01:03:32,768 --> 01:03:36,034 讲者 SPEAKER_09: 和“漂浮”这样的词适用于它们，适用于现实世界事物的词。
719 01:03:36,375 --> 01:03:39,240 讲者 SPEAKER_09：他们有趣的地方不在于他们是由一种叫做“质料”的有趣材料制成的。
720 01:03:39,561 --> 01:03:42,007 讲者 SPEAKER_09：有趣的是它们是反事实的。
721 01:03:42,027 --> 01:03:46,255 讲者 SPEAKER_09：所以现在我要给你们举一个多模态聊天机器人有主观体验的例子。
722 01:03:46,994 --> 01:03:48,896 讲者 SPEAKER_09：所以我有一个多模态聊天机器人。
723 01:03:48,976 --> 01:03:49,637 说话人 SPEAKER_09: 我训练它。
724 01:03:49,677 --> 01:03:50,257 说话人 SPEAKER_09: 它可以说话。
725 01:03:50,557 --> 01:03:51,139 说话人 SPEAKER_09: 它可以指认。
726 01:03:51,478 --> 01:03:52,159 说话人 SPEAKER_09: 它有一个机械臂。
727 01:03:52,719 --> 01:03:53,681 说话人 SPEAKER_09：它能看到东西。
728 01:03:54,242 --> 01:03:56,344 说话人 SPEAKER_09：我在它前面放了一个物体，然后说，指向这个物体。
729 01:03:56,463 --> 01:03:57,726 说话人 SPEAKER_09：然后它就指向了物体。
730 01:03:57,746 --> 01:03:58,206 说话人 SPEAKER_09：没问题。
731 01:03:58,987 --> 01:04:02,291 说话人 SPEAKER_09：然后我在它不知道的情况下，在其镜头前放了一个棱镜。
732 01:04:02,731 --> 01:04:05,293 说话人 SPEAKER_09：所以我搞砸了它的感知系统。
733 01:04:05,313 --> 01:04:07,376 说话人 SPEAKER_09：所以它的感知系统现在不再正常工作。
734 01:04:08,117 --> 01:04:09,559 说话人 SPEAKER_09：现在我把它放在一个物体前面。
735 01:04:09,998 --> 01:04:11,059 演讲者 SPEAKER_09：我说，指向这个物体。
736 01:04:11,079 --> 01:04:11,701 演讲者 SPEAKER_09：然后就这样。
737 01:04:12,702 --> 01:04:16,326 演讲者 SPEAKER_09：我说，不，我在你的镜头前放了一个棱镜。
738 01:04:16,423 --> 01:04:18,887 演讲者 SPEAKER_09：所以，棱镜正在弯曲光线。
739 01:04:19,590 --> 01:04:25,519 说话人 SPEAKER_09: 噢，我明白了，棱镜弯曲了光线，所以物体实际上在那里。
740 01:04:25,800 --> 01:04:27,945 说话人 SPEAKER_09: 但我主观上觉得它在那里。
741 01:04:27,965 --> 01:04:33,775 说话人 SPEAKER_09: 如果它这么说，它就和我们一样使用了“主观体验”这个词。
742 01:04:34,784 --> 01:04:39,672 说话人 SPEAKER_09: 所以如果聊天机器人这么说，它就有和我们一样的主观体验。
743 01:04:39,692 --> 01:04:47,905 讲者 SPEAKER_09：主观体验是，你的感知系统出了问题，你通过告诉人们世界需要是什么样子才能让它说的是真话来解释它出了什么问题。
744 01:04:48,385 --> 01:04:50,128 讲者 SPEAKER_09：这对我们来说是真的，对聊天机器人来说也是真的。
745 01:04:50,789 --> 01:04:54,054 讲者 SPEAKER_09：好的，我想再次投票，并且我想有超过 15 个人。
746 01:04:54,074 --> 01:04:58,141 讲者 SPEAKER_09：现在有多少人认为聊天机器人可以有主观体验？
747 01:04:58,813 --> 01:04:59,835 讲者 SPEAKER_04: 我仍然这么认为。
748 01:05:02,418 --> 01:05:10,150 讲者 SPEAKER_06: 不，但你正在以非常特别的方式定义主观经验，好像它关乎真假。
749 01:05:10,951 --> 01:05:12,813 讲者 SPEAKER_06: 主观经验始终存在。
750 01:05:13,135 --> 01:05:17,860 讲者 SPEAKER_06: 如果你认为有任何客观事物，那么你就在错误的方向上了。
751 01:05:18,262 --> 01:05:20,826 演讲者 SPEAKER_09：不，我不同意。
752 01:05:21,626 --> 01:05:24,952 演讲者 SPEAKER_09：我实际上和女权主义者以及绝对真理有过争论。
753 01:05:25,052 --> 01:05:28,737 演讲者 SPEAKER_09：我相信真正的事物。
754 01:05:28,987 --> 01:05:32,786 演讲者 SPEAKER_09：我现在正在看一个玻璃杯，我正在经历看玻璃杯的客观体验。
755 01:05:34,253 --> 01:05:34,856 演讲者 SPEAKER_09：你不同意吗？
756 01:05:35,318 --> 01:05:35,739 演讲者 SPEAKER_07：是的。
757 01:05:36,056 --> 01:05:38,559 演讲者 SPEAKER_09：这就是争论的结束。
758 01:05:39,422 --> 01:05:43,206 演讲者 SPEAKER_09：我认为我们实际上得稍后再解决那个问题。
759 01:05:43,226 --> 01:05:48,454 演讲者 SPEAKER_07：所以我们请您帮助我们提出一些问题。
760 01:05:48,655 --> 01:05:58,128 演讲者 SPEAKER_07：接下来我将提出来自观众的第一位问题，这是来自政府办公室国家数字化战略部门的安德斯·赫克先生的提问。
761 01:05:58,148 --> 01:05:59,048 演讲者 SPEAKER_07：我想他就在这里某个地方。
762 01:05:59,148 --> 01:05:59,769 演讲者 SPEAKER_07：是的。
763 01:05:59,750 --> 01:06:03,474 讲者 SPEAKER_07：您一直在争论 AGI 的出现和危险。
764 01:06:03,634 --> 01:06:06,115 讲者 SPEAKER_07：我们应该关注哪些里程碑？
765 01:06:06,155 --> 01:06:13,623 讲者 SPEAKER_07：有没有某个天文台或类似机构在跟踪和报告这种里程碑的演变？
766 01:06:13,884 --> 01:06:14,384 讲者 SPEAKER_09：这是针对我的吗？
767 01:06:14,585 --> 01:06:15,646 演讲者 SPEAKER_07: 是的。
768 01:06:15,666 --> 01:06:17,606 演讲者 SPEAKER_09: 我认为 OpenAI 有一些里程碑，对吧？
769 01:06:17,827 --> 01:06:23,914 演讲者 SPEAKER_09: OpenAI 设定了一些里程碑，他们现在处于第三阶段，如果他们达到第五阶段，那就是 AGI。
770 01:06:25,054 --> 01:06:27,376 演讲者 SPEAKER_07: 你同意他们的这种说法吗？
771 01:06:29,280 --> 01:06:34,313 讲者 SPEAKER_09：当我 2003 年春天离开谷歌时，我停止阅读文献。
772 01:06:35,677 --> 01:06:36,639 讲者 SPEAKER_09：我尝试退休。
773 01:06:36,699 --> 01:06:44,077 讲者 SPEAKER_09：我离开谷歌的原因是我想退休，我觉得在离开的时候顺便提一下这些事情是危险的。
774 01:06:44,820 --> 01:06:45,922 讲者 SPEAKER_09：然后我就无法退休了。
775 01:06:47,454 --> 01:06:48,898 讲者 SPEAKER_09：但我已经停止阅读文献了。
776 01:06:50,902 --> 01:06:54,068 讲者 SPEAKER_09：如果你问我，实际上有哪五个阶段？
777 01:06:54,889 --> 01:06:55,851 讲者 SPEAKER_09：你或许可以告诉我。
778 01:06:57,054 --> 01:06:59,719 讲者 SPEAKER_08：我读过，但现在想不起来了。
779 01:06:59,760 --> 01:07:01,463 说话人 SPEAKER_08: 我归咎于时差。
780 01:07:01,483 --> 01:07:02,565 说话人 SPEAKER_08: 但让我们说这个。
781 01:07:03,168 --> 01:07:05,311 说话人 SPEAKER_08: 但在某种程度上，我认为...
782 01:07:05,291 --> 01:07:09,019 说话人 SPEAKER_08: 它们有些合理，但表达得比较松散。
783 01:07:09,039 --> 01:07:13,168 演讲者 SPEAKER_08：当我看它们的时候，我似乎记得，好吧，我该如何量化这个？
784 01:07:13,228 --> 01:07:21,306 演讲者 SPEAKER_08：这可能对欧盟法案更为相关，因为在那里你实际上需要将要立法并由检查员检查的东西。
785 01:07:21,768 --> 01:07:22,929 演讲者 SPEAKER_08：他们需要能够告诉
786 01:07:22,909 --> 01:07:27,635 演讲者 SPEAKER_08：这个 AI 程序实际上是二级，但这个是三级。
787 01:07:28,297 --> 01:07:31,039 说话人 SPEAKER_08：当你需要一个相当严格的定义时，这会很棘手。
788 01:07:31,661 --> 01:07:35,505 说话人 SPEAKER_08：但许多人当然在推广自我意识这样的声音线。
789 01:07:35,585 --> 01:07:40,992 说话人 SPEAKER_08：我认为是 Antropic 说的，如果我们发现任何自我意识的迹象，我们会立即停止训练。
790 01:07:41,373 --> 01:07:46,659 说话人 SPEAKER_08：他们非常著名地看到了这样的迹象，并且对此感到好笑，说，这不是很酷吗？
791 01:07:46,679 --> 01:07:47,721 说话人 SPEAKER_08：然后继续这样做。
792 01:07:48,222 --> 01:07:49,744 说话人 SPEAKER_08：是的。
793 01:07:50,871 --> 01:07:54,896 说话人 SPEAKER_04：你认为我们真的能识别出 AGI 吗？
794 01:07:55,376 --> 01:07:58,099 说话人 SPEAKER_04：或者如果它超出了我们的理解，我们怎么知道呢？
795 01:08:00,481 --> 01:08:02,244 说话人 SPEAKER_09：你知道因为它现在处于控制之中。
796 01:08:04,365 --> 01:08:05,347 说话人 SPEAKER_04：那时就已经太晚了。
797 01:08:05,407 --> 01:08:19,461 说话人 SPEAKER_09：不，我认为一种识别方法是有这样一个 AI 系统，一个大型的聊天机器人，你和它辩论，你总是输。
798 01:08:22,275 --> 01:08:22,716 说话人 SPEAKER_04：这很好。
799 01:08:24,578 --> 01:08:25,599 讲者 SPEAKER_07：嗯，这可能是一个步骤。
800 01:08:26,961 --> 01:08:29,662 讲者 SPEAKER_04：现在突然感觉非常接近，不是吗？
801 01:08:30,564 --> 01:08:30,904 讲者 SPEAKER_09：是的。
802 01:08:31,104 --> 01:08:34,307 讲者 SPEAKER_09：这就是我们认识到 AlphaGo 下围棋比人更好的方式。
803 01:08:34,708 --> 01:08:35,309 说话人 SPEAKER_09：人们失败了。
804 01:08:36,690 --> 01:08:46,079 说话人 SPEAKER_07：还有一个来自观众的技术问题，那就是人类大脑似乎比大型基础 AI 模型更节能。
805 01:08:46,520 --> 01:08:49,042 说话人 SPEAKER_07：那么我们如何使模型更节能呢？
806 01:08:49,394 --> 01:08:51,756 说话人 SPEAKER_09：好的，我对这个有很多话要说。
807 01:08:51,777 --> 01:08:53,759 演讲者 SPEAKER_09：我们之所以节能，是因为我们是模拟的。
808 01:08:54,479 --> 01:08:57,422 演讲者 SPEAKER_09：因此，我们没有硬件和软件的分离。
809 01:08:58,003 --> 01:09:08,655 演讲者 SPEAKER_09：我们神经网络中的权重是针对那些特定神经元及其特定连接、所有这些神经元的特定特性以及它们之间所有交互的权重。
810 01:09:08,676 --> 01:09:10,177 演讲者 SPEAKER_09：这些权重仅适用于这种情况。
811 01:09:12,359 --> 01:09:19,148 演讲者 SPEAKER_09：另一种选择是数字化，使用非常高的功率的晶体管。
812 01:09:19,515 --> 01:09:26,987 演讲者 SPEAKER_09：但为此你将得到的是，你可以拥有两块不同的硬件，在指令级别上执行完全相同的操作。
813 01:09:27,788 --> 01:09:30,171 演讲者 SPEAKER_09：要做到这一点，你必须非常精确地制造东西。
814 01:09:31,113 --> 01:09:37,103 演讲者 SPEAKER_09：你必须使用非常高的功率，这样你才能得到 1 和 0，而不是 0.5。
815 01:09:38,601 --> 01:09:43,752 说话人 SPEAKER_09：这样做更好，因为这样两块不同的硬件可以学习不同的事情，并分享它们所学到的东西。
816 01:09:44,333 --> 01:09:47,399 说话人 SPEAKER_09：从这个意义上说，这样做更好，但它的缺点是功耗更高。
817 01:09:48,001 --> 01:09:55,235 说话人 SPEAKER_09：问题是，这种更好的共享能力是否会超过它功耗更高的缺点？
818 01:09:55,657 --> 01:09:58,381 说话人 SPEAKER_09：我觉得你可能没有进化出数字思维。
819 01:09:58,362 --> 01:10:00,747 讲者 SPEAKER_09: 智能因为涉及太多的权力。
820 01:10:00,768 --> 01:10:02,733 讲者 SPEAKER_09: 你将要涉及模拟智能。
821 01:10:03,213 --> 01:10:05,059 讲者 SPEAKER_09: 但我认为数字智能更好。
822 01:10:05,961 --> 01:10:09,890 讲者 SPEAKER_09: 可能是因为权力过于极端。
823 01:10:10,680 --> 01:10:22,175 讲者 SPEAKER_09：当然，如果我们能弄清楚如何在模拟神经网络中正确学习，那么我们可能能制造出比数字神经网络更大的模拟神经网络。
824 01:10:22,836 --> 01:10:27,240 讲者 SPEAKER_09：虽然它们不能相互共享，但其中之一可能学会很多东西。
825 01:10:27,541 --> 01:10:29,203 讲者 SPEAKER_09：但我认为你无法获取数据。
826 01:10:29,583 --> 01:10:34,510 讲者 SPEAKER_09：尤其是当数据涉及到在世界上行动时，你不可能通过一个系统获取数据。
827 01:10:34,789 --> 01:10:37,372 演讲者 SPEAKER_09：因为作用于世界，你无法提高百万倍的速度。
828 01:10:37,432 --> 01:10:38,814 演讲者 SPEAKER_09：你必须作用于世界。
829 01:10:38,795 --> 01:10:45,462 演讲者 SPEAKER_09：所以这是一个缓慢的顺序过程，你不可能通过一个系统获取所有数据，因此你无法与数字智能竞争。
830 01:10:46,403 --> 01:10:46,984 演讲者 SPEAKER_09：我说了我的部分。
831 01:10:48,265 --> 01:10:49,426 演讲者 SPEAKER_07: 你说你将要退休。
832 01:10:49,466 --> 01:10:52,009 演讲者 SPEAKER_07: 听起来你对这个领域非常感兴趣。
833 01:10:52,029 --> 01:10:54,591 演讲者 SPEAKER_09: 不，正是我在研究这个导致我退休。
834 01:10:56,033 --> 01:11:01,498 演讲者 SPEAKER_09: 我认为模拟智能无法与数字智能竞争的事实。
835 01:11:02,118 --> 01:11:05,662 说话人 SPEAKER_07：小组，关于能源效率有什么想法吗？
836 01:11:06,453 --> 01:11:10,936 说话人 SPEAKER_08：有一个非常有趣的问题，关于最终极限到底在哪里。
837 01:11:10,957 --> 01:11:21,506 说话人 SPEAKER_08：有关于兰道尔原理的基本思想，但为了提升一个比特的信息，你需要付出一定的热力学代价，而我们现在离那个目标还非常遥远。
838 01:11:21,527 --> 01:11:29,533 说话人 SPEAKER_08：大脑以 20 到 25 瓦的功率运行更接近，但仍然，我认为，离兰道尔极限还有七个数量级。
839 01:11:29,554 --> 01:11:33,337 说话人 SPEAKER_08：我认为在我们宇宙中，物质目前并不十分智能。
840 01:11:33,318 --> 01:11:40,886 说话人 SPEAKER_08：但随着我们的技术越来越聪明，我们在制造它们方面的能力也越来越强，我认为我们可能会获得各种效率。
841 01:11:40,947 --> 01:11:48,936 说话人 SPEAKER_08：也许我们想要拥有节能的机器人，但同时也可能需要更多能量的可复制智能。
842 01:11:49,398 --> 01:11:56,606 说话人 SPEAKER_08：或者你可能想要拥有具有自己令人烦恼的怪癖的量子计算机，因为它们非常脆弱，需要隔离。
843 01:11:56,627 --> 01:12:01,872 讲者 SPEAKER_08：可能对于不同类型的智能，我们会得到根本不同的硬件。
844 01:12:02,038 --> 01:12:05,372 讲者 SPEAKER_09：我记得在哪里看到过，但记不得是谁说的，肯定不是我。
845 01:12:06,256 --> 01:12:13,162 讲者 SPEAKER_09：我们现在处于一个这样的状况，我们拥有史前的大脑，中世纪的制度，以及神一般的科技。
846 01:12:15,622 --> 01:12:36,213 讲者 SPEAKER_06：我认为还有其他方法，这不一定能解决能源问题，但对于具身智能，有很多关于生物材料的实验，所以不是在我们今天所知的硬件上实施，而是在其他材料上，培养其他材料。
当前讨论中让我担忧的一点，我认为我们现在正处于 AI 炒作的高峰期，就是辩论中的大多数声音，我可以说，都是男性。
在研讨会之前，我们收到的几乎所有问题都来自男性对话者。
所以我要向观众提问，而且只有，现在，我要非常权威地说，只有女性可以提问，请。
850 01：13：02,838 --> 01：13：04,479 议长 SPEAKER_07：任何人。
851 01:13:04,460 --> 01:13:06,768 说话人 SPEAKER_07: 请拿起您椅子旁边的麦克风。
852 01:13:06,787 --> 01:13:08,332 说话人 SPEAKER_05: 我实际上有两个问题。
853 01:13:08,994 --> 01:13:10,118 说话人 SPEAKER_05: 我先从第一个问题开始。
854 01:13:12,405 --> 01:13:14,453 说话人 SPEAKER_05: 当我们交谈时，我们假设
855 01:13:14,887 --> 01:13:25,645 讲者 SPEAKER_05：大多数情况下，不是我们所有人，但大多数情况下，当我们构建这些系统时，我们实际上是在想一些邪恶的事情。
856 01:13:25,685 --> 01:13:27,046 讲者 SPEAKER_05：它们对我们来说会不好。
857 01:13:27,106 --> 01:13:28,269 讲者 SPEAKER_05：它们不会对我们好。
858 01:13:28,909 --> 01:13:34,198 讲者 SPEAKER_05：我们为什么不假设世界上有更多的好人，而不是坏人呢？
859 01:13:34,878 --> 01:13:37,122 演讲者 SPEAKER_05：因此，这些系统将会是好的系统。
860 01:13:37,162 --> 01:13:38,425 演讲者 SPEAKER_05：这是我的第一个问题。
861 01:13:39,086 --> 01:13:41,789 演讲者 SPEAKER_05：现在，我的第二个问题是，
862 01:13:43,002 --> 01:13:53,560 演讲者 SPEAKER_05：如果我们回顾我们的历史，当我们创建新的系统时，我们实际上是与它们一起学习，并将它们变成了我们的一部分，而不是我们观察的其他事物。
863 01:13:54,000 --> 01:14:01,233 讲者 SPEAKER_05：我们为什么认为我们会与这些系统合并，并且我们共同会变得更好呢？
864 01:14:02,635 --> 01:14:04,819 讲者 SPEAKER_05：所以有两个问题。
865 01:14:04,958 --> 01:14:06,822 讲者 SPEAKER_09：我同意好人比坏人多。
866 01:14:06,841 --> 01:14:08,604 讲者 SPEAKER_09：不幸的是，坏人占据了上风。
867 01:14:11,099 --> 01:14:21,820 讲者 SPEAKER_04：实际上还有一个问题，人们喜欢称之为防守者的困境，攻击者只需要成功一次，而作为防守者，你需要每次都成功。
868 01:14:21,841 --> 01:14:26,289 讲者 SPEAKER_04：所以，你知道，随着时间的推移，概率对好人不利。
869 01:14:26,827 --> 01:14:28,229 讲者 SPEAKER_05：你认为呢，Kia？
870 01:14:31,034 --> 01:14:41,033 讲者 SPEAKER_06：所以我确实认为我们需要用其他方式来处理这些问题，并解开其他方法，并教给我们的年轻人其他方法。
871 01:14:41,472 --> 01:14:51,230 讲者 SPEAKER_06：在 KTH，你知道，以新的方式教授思考这些系统的方法，这样一旦我们实施它们，我们实际上会强调好的方面。
872 01:14:51,211 --> 01:15:05,172 讲者 SPEAKER_06：我知道我们还需要法律和法规，尽管我更倾向于探索你在设计和这些系统中的个人力量和个人责任。
873 01:15:05,793 --> 01:15:07,337 讲者 SPEAKER_06：这就是我现在所在的位置。
874 01:15:07,757 --> 01:15:12,966 讲者 SPEAKER_06：我想我能做的是尝试与我们的年轻学生互动。
875 01:15:12,945 --> 01:15:23,220 讲者 SPEAKER_06：我听说欧盟很快会规定，任何计算机科学系都必须雇佣来自人文和社会科学领域的人。
876 01:15:25,101 --> 01:15:41,703 讲者 SPEAKER_06：所以，以有见地、知识渊博的方式提出问题，对数据、算法以及我们构建它们的方式有良好的理论理解，我认为这是很重要的。
877 01:15:41,684 --> 01:15:44,686 讲者 SPEAKER_08：也许每个文科系也需要有一个工程师。
878 01:15:46,168 --> 01:15:55,479 讲者 SPEAKER_08：但你的第二个问题也很有趣，因为当我们使用工具时，它们至少对于许多简单的工具，会融入我们的身体形象中。
879 01:15:55,579 --> 01:16:01,846 讲者 SPEAKER_08：如果我手里拿着一根长木头，突然我的个人空间感就改变了。
880 01:16:01,868 --> 01:16:04,029 讲者 SPEAKER_08：你可以进行脑成像，看到这些变化。
881 01:16:04,010 --> 01:16:06,916 讲者 SPEAKER_08：当然，这也适用于许多认知工具。
882 01:16:07,778 --> 01:16:11,546 讲者 SPEAKER_08：我的智能手机，我的笔记本，它们都是我思维的一部分。
883 01:16:11,565 --> 01:16:12,528 说话人 SPEAKER_08：它们在扩展我的思维。
884 01:16:13,029 --> 01:16:14,731 说话人 SPEAKER_08：我们还拥有社交扩展。
885 01:16:14,752 --> 01:16:17,738 说话人 SPEAKER_08：社会中正在发生许多扩展认知的形式。
886 01:16:18,139 --> 01:16:24,212 说话人 SPEAKER_08：现在正在发生的令人着迷的事情是，当然，越来越多的算法和软件片段正在悄悄地进入其中。
887 01:16:24,192 --> 01:16:31,563 讲者 SPEAKER_08：我早就意识到维基百科已经成为我记忆的一部分，这意味着我的记忆中已经有编辑者在修改。
888 01:16:31,582 --> 01:16:40,957 讲者 SPEAKER_08：还有许多机器人以多种方式编辑维基百科，但这意味着我已经在不自知的情况下，部分记忆受到了人工智能的增强。
889 01:16:41,317 --> 01:16:42,698 讲者 SPEAKER_08：我对维基百科还是有点信任的。
890 01:16:42,719 --> 01:16:46,824 讲者 SPEAKER_08：还有其他这些系统，我不知道是否应该信任。
891 01:16:46,845 --> 01:16:53,354 说话人 SPEAKER_08：我认为当我们扩展自己时，开发使它们值得信赖的方法将非常重要。
892 01:16:54,347 --> 01:16:55,952 说话人 SPEAKER_06：我不喜欢“信任”这个词。
893 01:16:56,131 --> 01:17:00,523 说话人 SPEAKER_06：我认为这是一个糟糕的概念，它掩盖了许多东西。
894 01:17:00,722 --> 01:17:03,510 说话人 SPEAKER_06：我们没有时间去探讨这个问题。
895 01:17:03,550 --> 01:17:04,552 说话人 SPEAKER_06: 别去那里。
896 01:17:04,733 --> 01:17:05,996 说话人 SPEAKER_06: 可信的 AI。
897 01:17:06,015 --> 01:17:06,998 说话人 SPEAKER_07: 那是什么鬼？
898 01:17:07,019 --> 01:17:10,967 说话人 SPEAKER_07: 来自观众的最后一个问题。
899 01:17:11,007 --> 01:17:12,492 说话人 SPEAKER_07：椅子侧面的麦克风打开了。
900 01:17:18,108 --> 01:17:20,610 说话人 SPEAKER_03：那是一个智力测试，我勉强及格了。
901 01:17:21,231 --> 01:17:24,957 说话人 SPEAKER_03：我叫 Sarah，我在谷歌公共政策部门工作。
902 01:17:25,256 --> 01:17:33,587 说话人 SPEAKER_03：我对这些讨论很感兴趣，尤其是您，Hinton 教授，关于治理的想法。
903 01:17:33,908 --> 01:17:45,582 演讲者 SPEAKER_03：如果我们都看到了潜力，也看到了这些风险，我们如何确保最终获胜的是潜力和机遇？
904 01:17:47,351 --> 01:18:02,373 演讲者 SPEAKER_09：所以当我还在谷歌的时候，他们当时领先很多，大约在 2017 年以及之后的几年里，在他们完成了 Transformer 并发表了这项技术之后，他们可能现在后悔发表了这项技术，
905 01:18:02,827 --> 01:18:06,815 演讲者 SPEAKER_09：他们的聊天机器人比任何人都先进。
906 01:18:07,337 --> 01:18:15,114 演讲者 SPEAKER_09：我的意思是，他们非常负责任，没有发布它们，因为他们看到了微软发布聊天机器人时发生的事情。
907 01:18:15,695 --> 01:18:20,768 说话人 SPEAKER_09: 我的意思是，它很快就开始喷出种族主义仇恨言论。
908 01:18:20,747 --> 01:18:24,390 说话人 SPEAKER_09: 显然，谷歌有很好的声誉，不想破坏它。
909 01:18:25,271 --> 01:18:30,976 说话人 SPEAKER_09: 所以，他们没有发布这些内容并不是出于道德原因，因为他们不想破坏自己的声誉。
910 01:18:32,179 --> 01:18:33,520 说话人 SPEAKER_09: 但他们表现得非常负责任。
911 01:18:34,280 --> 01:18:38,384 说话人 SPEAKER_09：自从 OpenAI 与微软达成协议后，他们就不能那样做了。
912 01:18:38,904 --> 01:18:44,189 说话人 SPEAKER_09：他们不得不竞争，发布产品，并推出聊天机器人。
913 01:18:45,171 --> 01:18:48,814 说话人 SPEAKER_09：所以我认为谷歌在他们有能力的时候表现得很好。
914 01:18:49,654 --> 01:18:50,536 说话人 SPEAKER_09：他们可以承担得起。
915 01:18:51,877 --> 01:18:54,962 说话人 SPEAKER_09：但是一旦进入资本主义体系，我们可以达成共识。
916 01:18:55,282 --> 01:19:10,600 说话人 SPEAKER_09：在资本主义体系中，当出现以利润为导向的公司，尤其是那些 CEO 的股票期权取决于他们下个季度表现的公司，你将看到短期利润支配一切。
917 01:19:11,122 --> 01:19:13,185 说话人 SPEAKER_09：这正是我们在 OpenAI 看到的。
918 01:19:13,845 --> 01:19:19,171 说话人 SPEAKER_09：OpenAI 是一个关于人工智能安全与利润的实时实验。
919 01:19:19,287 --> 01:19:25,454 讲者 SPEAKER_07: 你实际上是在说，回答这个问题，你需要市场的一些干预吗？
920 01:19:25,475 --> 01:19:35,167 讲者 SPEAKER_09: 我认为仅凭谷歌本身是无法做到道德行为的。
921 01:19:35,587 --> 01:19:41,814 讲者 SPEAKER_09: 在法律上，它有义务尝试最大化利润。
922 01:19:42,576 --> 01:19:43,796 讲者 SPEAKER_09: 它是不被允许的。
923 01:19:43,837 --> 01:19:47,742 说话人 SPEAKER_09: 从法律上讲，不能表现得有礼貌。
924 01:19:48,751 --> 01:19:51,315 说话人 SPEAKER_09: 这将需要政府进行监管。
925 01:19:51,336 --> 01:19:54,341 说话人 SPEAKER_09: 我认为我对这一点是正确的，关于生产者的责任。
926 01:19:54,381 --> 01:19:59,511 说话人 SPEAKER_06: 就我记得的微软聊天机器人而言，它最初在亚洲某地发布，并且工作得非常好。
927 01:20:00,171 --> 01:20:07,123 说话人 SPEAKER_06: 然后在英国发布，仅用了 24 小时就出现了种族歧视和脏话。
928 01:20:07,144 --> 01:20:09,087 说话人 SPEAKER_09: 很可能是指男人。
929 01:20:10,975 --> 01:20:15,219 说话人 SPEAKER_07: 不要去那里。
930 01:20:15,319 --> 01:20:24,188 说话人 SPEAKER_07：我们将开始总结，但我想，这也是一个从我的问题中产生的问题，同时也是从观众那里提出的问题。
