1 00:00:24,989 --> 00:00:31,278 主持人 SPEAKER_02：我非常荣幸，能够介绍今天的演讲者。
712 00:57:00,391 --> 00:57:05,820 说话人 SPEAKER_00: 对不起，在一边去极化，让波开始传播。
713 00:57:06,280 --> 00:57:09,025 说话人 SPEAKER_00: 从另一端出来的完全是可预测的。
714 00:57:10,228 --> 00:57:14,916 说话人 SPEAKER_00: 即使动作有分支等，从另一端出来的也将保持不变。
715 00:57:15,898 --> 00:57:17,940 说话人 SPEAKER_00: 所以，这是一种数字系统。
716 00:57:18,742 --> 00:57:21,086 说话人 SPEAKER_00: 你在这头放一个一，另一头出来也是一个一。
717 00:57:22,048 --> 00:57:23,471 说话人 SPEAKER_00: 它们的大小基本上总是相同的。
718 00:57:25,134 --> 00:57:25,233 未知说话人: 好的。
719 00:57:25,822 --> 00:57:30,909 说话人 SPEAKER_00：现在，有一些模型，比如人们制作了一些计算神经科学模型，其中存在不同高度的尖峰。
720 00:57:30,949 --> 00:57:32,050 说话人 SPEAKER_00：Mike Lewinke 有一个这样的模型。
721 00:57:32,271 --> 00:57:34,894 说话人 SPEAKER_00：但真实的尖峰并不是这样的。
722 00:57:34,914 --> 00:57:38,481 说话人 SPEAKER_03：观众成员 1 另一个模型。
723 00:57:41,764 --> 00:57:41,945 未知说话者：再来一次。
724 00:57:41,965 --> 00:57:43,248 说话者 SPEAKER_01：观众成员 2，谢谢。
725 00:57:43,307 --> 00:57:45,931 说话者 SPEAKER_01：支持向量机可以看作是一个神经元。
726 00:57:46,371 --> 00:57:48,916 说话者 SPEAKER_01：因此，可以应用 dropout 到支持向量机。
727 00:57:48,956 --> 00:57:49,737 说话人 SPEAKER_01: 你试过这个吗？
728 00:57:50,746 --> 00:57:52,309 说话人 SPEAKER_01: 没有，我没试过。
729 00:57:52,369 --> 00:57:56,199 说话人 SPEAKER_00: 我不确定我是否理解你，但我喜欢这样的观点：支持向量机就是一个神经元。
730 00:58:03,637 --> 00:58:06,222 说话人 SPEAKER_00: 你可以事后给我解释一下。
731 00:58:14,708 --> 00:58:20,179 说话人 SPEAKER_04：所以，如果你将 Dropout 视为正则化器，它会在任何给定时间关闭一半的节点。
732 00:58:20,699 --> 00:58:25,309 说话人 SPEAKER_04：另一个稻草人方案就是简单地让一半的节点始终处于开启状态。
733 00:58:26,210 --> 00:58:27,673 说话人 SPEAKER_04：你尝试过那样做，结果... 哦，是的。
734 00:58:27,733 --> 00:58:28,695 说话人 SPEAKER_00：Dropout 要好得多。
735 00:58:30,460 --> 00:58:30,559 说话人 SPEAKER_00: 好的。
736 00:58:30,579 --> 00:58:33,105 说话人 SPEAKER_00: 所以，如果你看 Jan 的网页上的那个 160，
737 00:58:33,980 --> 00:58:37,784 说话人 SPEAKER_00: 有很多对调整反向传播很了解的人。
738 00:58:38,846 --> 00:58:40,188 说话人 SPEAKER_00: 约翰·普拉特尝试了很多方法。
739 00:58:40,748 --> 00:58:47,396 说话人 SPEAKER_00：约翰·普拉特通过运行一个大型的隐藏层，仅一个隐藏层，并且非常缓慢地训练，得到了 160 分。
740 00:58:47,878 --> 00:58:49,480 说话人 SPEAKER_00：他曾经得到过 160 分。
741 00:58:52,322 --> 00:58:54,485 说话人 SPEAKER_00：很多人尝试过，但做得更差。
742 00:58:54,954 --> 00:58:57,418 说话人 SPEAKER_00：如果你不进行数据转换或加入知识。
743 00:58:58,320 --> 00:59:01,003 说话者 说话者_00：这一点已经被非常仔细地研究了。
744 00:59:02,445 --> 00:59:05,168 说话者 说话者_00：在 Jan 的网页上有一个结果是 153。
745 00:59:05,248 --> 00:59:09,134 说话者 说话者_00：这是一个未发表的结果，而且是我做的。
746 00:59:11,237 --> 00:59:13,621 说话者 说话者_00：这个结果是通过使用这些权重约束得到的。
747 00:59:13,641 --> 00:59:15,682 说话人 SPEAKER_00：实际上，你可以击败 160 的重量限制。
748 00:59:16,224 --> 00:59:20,530 说话人 SPEAKER_00：你只需使用重量限制，就可以降低到大约 150。
749 00:59:20,550 --> 00:59:24,135 说话人 SPEAKER_00：但你不会接近 110 或 120。
750 00:59:25,414 --> 00:59:29,679 说话人 SPEAKER_04：还有一点是带有 dropout 的学习速度较慢。
751 00:59:29,981 --> 00:59:30,161 说话人 SPEAKER_00: 是的。
752 00:59:30,762 --> 00:59:36,309 说话人 SPEAKER_04: 你有没有想过，你知道的，一开始不用 dropout，然后，你知道的。
753 00:59:36,329 --> 00:59:37,710 说话人 SPEAKER_00: 所以，这些都是比较新的内容。
754 00:59:38,650 --> 00:59:41,956 说话人 SPEAKER_00: 我们只写了一篇关于这个的论文，但刚刚被拒绝了。
755 00:59:42,655 --> 00:59:49,264 说话人 SPEAKER_00：所以，几乎所有要尝试的事情，我们还没有尝试过。
756 00:59:50,045 --> 00:59:50,146 说话人 SPEAKER_00：好的。
757 00:59:50,166 --> 00:59:52,789 说话人 SPEAKER_00：我们刚刚得到了初步结果，表明它工作得非常好。
758 00:59:58,135 --> 00:59:59,860 说话人 SPEAKER_03：好了，我们的时间快到了。
759 00:59:59,981 --> 01:00:12,077 说话人 SPEAKER_03：那么让我们感谢 Jeff。
